Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Pascal Siakam,37:39,7,17,.412,0,4,.000,4,6,.667,4,4,8,6,1,1,4,0,18,+6,37:39,.458,.412,.235,.353,9.4,11.3,10.3,27.2,1.3,1.9,16.9,26.5,98,110,0.7
Jakob Poeltl,34:56,8,9,.889,0,0,,2,2,1.000,4,9,13,2,2,0,1,3,18,+9,34:56,.911,.889,.000,.222,10.2,27.5,18.0,10.6,2.8,0.0,9.2,13.1,171,103,9.3
OG Anunoby,34:04,4,12,.333,2,5,.400,1,3,.333,5,2,7,1,0,1,1,1,11,+11,34:04,.413,.417,.417,.250,13.0,6.3,10.0,4.5,0.0,2.1,7.0,17.7,101,114,-3.3
Scottie Barnes,33:01,5,14,.357,1,4,.250,4,5,.800,1,7,8,3,1,1,2,1,15,-20,33:01,.463,.393,.286,.357,2.7,22.6,11.7,14.7,1.5,2.2,11.0,23.3,99,106,-0.1
Dennis Schröder,29:21,5,11,.455,2,5,.400,3,3,1.000,0,2,2,4,2,0,1,5,15,+10,29:21,.609,.545,.455,.273,0.0,7.3,3.3,22.7,3.4,0.0,7.5,19.1,130,108,3.4
Gary Trent Jr.,25:39,5,13,.385,1,7,.143,2,2,1.000,0,1,1,0,1,0,1,0,13,+10,25:39,.468,.423,.538,.154,0.0,4.2,1.9,0.0,1.9,0.0,6.7,24.5,96,112,-4.6
Malachi Flynn,16:41,1,6,.167,1,4,.250,0,0,,0,4,4,0,0,0,1,1,3,-13,16:41,.250,.250,.667,.000,0.0,25.6,11.6,0.0,0.0,0.0,14.3,17.7,49,110,-15.1
Precious Achiuwa,12:51,1,4,.250,1,2,.500,1,4,.250,0,2,2,1,1,0,0,0,4,-15,12:51,.347,.375,.500,1.000,0.0,16.6,7.5,11.2,3.9,0.0,0.0,18.9,85,104,-0.2
Chris Boucher,10:21,1,2,.500,0,0,,3,4,.750,2,2,4,0,1,0,1,0,5,-9,10:21,.665,.500,.000,2.000,17.2,20.6,18.7,0.0,4.8,0.0,21.0,19.4,122,101,3.1
Otto Porter Jr.,5:25,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-4,5:25,.000,.000,1.000,.000,16.4,0.0,9.0,0.0,0.0,0.0,0.0,7.8,60,118,-11.1
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,89,.416,8,32,.250,20,29,.690,17,33,50,17,9,3,12,11,102,,240,.501,.461,.360,.326,31.5,73.3,50.5,45.9,9.3,4.5,10.5,100.0,105.3,108.4,
