Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,32:16,7,14,.500,0,0,,3,5,.600,3,8,11,2,1,1,2,4,17,-13,32:16,.525,.500,.000,.357,11.4,29.0,20.5,10.4,1.6,3.2,11.0,25.6,103,139,-2.3
LeBron James,29:32,8,12,.667,1,1,1.000,1,2,.500,0,0,0,5,1,1,1,0,18,-30,29:32,.699,.708,.083,.167,0.0,0.0,0.0,31.3,1.7,3.5,7.2,21.3,133,150,8.8
Taurean Prince,28:34,4,8,.500,3,6,.500,0,0,,0,4,4,1,0,0,1,3,11,-26,28:34,.688,.688,.750,.000,0.0,16.4,8.4,5.2,0.0,0.0,11.1,14.3,115,149,-2.6
Max Christie,25:54,3,6,.500,0,3,.000,0,0,,0,3,3,1,1,0,1,3,6,-16,25:54,.500,.500,.500,.000,0.0,13.6,6.9,5.5,2.0,0.0,14.3,12.3,87,145,-7.2
D'Angelo Russell,24:24,5,10,.500,1,2,.500,1,2,.500,0,2,2,7,0,0,0,0,12,-8,24:24,.551,.550,.200,.200,0.0,9.6,4.9,47.2,0.0,0.0,0.0,20.2,128,152,4.8
Austin Reaves,28:35,4,10,.400,1,4,.250,3,3,1.000,0,2,2,2,0,0,3,2,12,-19,28:35,.530,.450,.400,.300,0.0,8.2,4.2,10.4,0.0,0.0,20.9,22.7,88,152,-10.1
Christian Wood,21:36,3,9,.333,0,5,.000,0,0,,0,7,7,1,0,1,3,1,6,-15,21:36,.333,.333,.556,.000,0.0,37.9,19.4,6.9,0.0,4.7,25.0,25.2,52,138,-14.2
Jaxson Hayes,19:00,3,6,.500,0,2,.000,1,1,1.000,2,0,2,1,0,1,2,3,7,-33,19:00,.543,.500,.333,.167,13.0,0.0,6.3,8.0,0.0,5.4,23.7,20.2,94,153,-8.7
Jalen Hood-Schifino,11:09,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,1,1,0,-17,11:09,.000,.000,.667,.000,0.0,0.0,0.0,22.1,0.0,0.0,25.0,16.3,28,156,-18.6
D'Moi Hodge,8:18,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,-17,8:18,.500,.500,1.000,.000,0.0,0.0,0.0,17.4,0.0,0.0,0.0,16.4,110,156,-3.9
Maxwell Lewis,8:18,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,0,0,-17,8:18,.000,.000,.000,.000,14.8,0.0,7.2,0.0,0.0,0.0,66.7,16.4,22,156,-22.2
Alex Fudge,2:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-9,2:23,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,38.1,65,156,-9.5
Team Totals,240,39,83,.470,7,28,.250,9,13,.692,6,26,32,23,3,4,17,18,94,,240,.530,.512,.337,.157,15.4,63.4,40.0,59.0,3.2,8.5,16.1,100.0,99.8,146.5,
