Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mike Conley,37:14,3,14,.214,3,10,.300,0,0,,0,2,2,8,1,0,0,2,9,+17,37:14,.321,.321,.714,.000,0.0,5.2,3.0,35.4,1.3,0.0,0.0,16.2,103,111,-0.8
Rudy Gobert,36:12,6,10,.600,0,0,,5,6,.833,6,10,16,0,1,4,1,1,17,-1,36:12,.672,.600,.000,.600,21.5,26.5,24.4,0.0,1.4,8.8,7.3,16.3,143,97,9.4
Karl-Anthony Towns,31:50,2,8,.250,1,3,.333,8,8,1.000,0,10,10,3,0,0,6,4,13,+12,31:50,.564,.313,.375,1.000,0.0,30.2,17.3,15.1,0.0,0.0,34.2,23.8,87,106,-5.4
Anthony Edwards,28:01,7,16,.438,3,6,.500,4,6,.667,0,5,5,1,0,1,2,2,21,0,28:01,.563,.531,.375,.375,0.0,17.1,9.8,8.2,0.0,2.9,9.7,31.8,107,108,3.3
Nickeil Alexander-Walker,25:59,1,7,.143,1,5,.200,0,0,,1,1,2,1,0,0,2,2,3,-4,25:59,.214,.214,.714,.000,5.0,3.7,4.2,5.9,0.0,0.0,22.2,15.0,51,114,-11.9
Naz Reid,25:26,6,9,.667,3,4,.750,0,0,,1,6,7,2,0,2,1,2,15,+1,25:26,.833,.833,.444,.000,5.1,22.6,15.2,17.4,0.0,6.3,10.0,17.0,152,103,15.2
Kyle Anderson,22:46,2,6,.333,0,0,,3,4,.750,2,3,5,2,0,1,4,1,7,-7,22:46,.451,.333,.000,.667,11.4,12.7,12.1,14.6,0.0,3.5,34.0,22.3,79,109,-5.6
Troy Brown Jr.,21:00,5,6,.833,3,4,.750,4,6,.667,0,3,3,0,0,0,1,2,17,+1,21:00,.984,1.083,.667,1.000,0.0,13.7,7.9,0.0,0.0,0.0,10.4,19.8,163,111,13.7
Shake Milton,11:32,1,2,.500,0,1,.000,2,2,1.000,0,1,1,1,1,1,2,1,4,-4,11:32,.694,.500,.500,1.000,0.0,8.3,4.8,14.4,4.3,6.9,41.0,18.3,91,97,5.0
Leonard Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Minott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daishen Nix,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,78,.423,14,33,.424,26,32,.813,10,41,51,18,3,9,19,17,106,,240,.576,.513,.423,.410,27.0,82.0,58.6,54.5,3.1,15.0,17.1,100.0,109.4,106.3,
