Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Holiday,35:04,4,10,.400,0,5,.000,1,1,1.000,0,3,3,5,0,0,0,2,9,-16,35:04,.431,.400,.500,.100,0.0,10.3,5.4,16.5,0.0,0.0,0.0,14.0,115,150,-10.1
Jalen Green,34:14,8,12,.667,5,8,.625,5,6,.833,0,6,6,9,0,1,2,0,26,-11,34:14,.888,.875,.667,.500,0.0,21.0,11.1,35.3,0.0,2.7,12.0,22.8,166,145,15.1
Jabari Smith Jr.,32:06,6,14,.429,2,7,.286,1,2,.500,1,6,7,2,0,1,0,3,15,-22,32:06,.504,.500,.500,.143,4.2,22.4,13.8,7.9,0.0,2.9,0.0,21.7,114,144,-6.8
Alperen Sengun,28:10,10,18,.556,2,6,.333,0,0,,2,5,7,4,1,0,1,3,22,-19,28:10,.611,.611,.333,.000,9.5,21.3,15.7,22.8,1.8,0.0,5.3,31.6,129,142,2.2
Dillon Brooks,23:24,4,7,.571,1,4,.250,2,3,.667,1,0,1,2,0,0,4,4,11,-22,23:24,.661,.643,.571,.429,5.7,0.0,2.7,10.6,0.0,0.0,32.5,24.7,96,153,-13.9
Jeff Green,22:01,4,6,.667,2,3,.667,2,3,.667,0,2,2,2,1,1,0,1,12,+4,22:01,.820,.833,.500,.500,0.0,10.9,5.7,11.4,2.4,4.2,0.0,15.6,170,142,8.1
Tari Eason,16:42,2,5,.400,0,1,.000,0,0,,2,0,2,0,0,2,0,0,4,+8,16:42,.400,.400,.200,.000,16.0,0.0,7.6,0.0,0.0,11.1,0.0,14.0,109,147,-8.0
Jock Landale,13:36,2,4,.500,0,1,.000,2,2,1.000,0,1,1,0,1,0,1,2,6,+4,13:36,.615,.500,.250,.500,0.0,8.8,4.6,0.0,3.8,0.0,17.0,20.3,103,141,-10.4
Reggie Bullock,11:52,2,2,1.000,2,2,1.000,0,0,,1,0,1,0,0,0,0,3,6,-1,11:52,1.500,1.500,1.000,.000,11.2,0.0,5.3,0.0,0.0,0.0,0.0,7.9,278,152,5.0
Cam Whitmore,5:47,3,4,.750,1,2,.500,1,2,.500,0,2,2,0,0,0,0,1,8,+6,5:47,.000,.000,1.000,.000,0.0,41.5,21.8,35.3,0.0,0.0,0.0,8.1,104,140,-0.1
Jeenathan Williams,5:47,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,+6,5:47,.820,.875,.500,.500,0.0,41.5,21.8,0.0,0.0,0.0,0.0,39.6,150,139,12.4
Jermaine Samuels,5:47,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,0,0,+6,5:47,.500,.500,.000,.000,0.0,0.0,0.0,21.4,0.0,0.0,0.0,16.2,125,153,-8.6
Nate Hinton,5:30,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,+7,5:30,1.500,1.500,1.000,.000,24.2,0.0,11.5,0.0,0.0,0.0,0.0,8.5,265,153,11.9
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,86,.547,16,41,.390,14,19,.737,8,27,35,27,3,5,8,20,124,,240,.657,.640,.477,.221,22.2,67.5,46.1,57.4,3.3,9.6,7.8,100.0,134.5,145.4,
