Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,37:43,7,15,.467,1,3,.333,8,8,1.000,2,5,7,4,0,3,0,4,23,+14,37:43,.621,.500,.200,.533,5.1,13.8,9.3,15.4,0.0,5.6,0.0,21.2,146,111,7.3
Pascal Siakam,36:05,9,21,.429,1,5,.200,3,3,1.000,3,6,9,3,1,0,3,4,22,+9,36:05,.493,.452,.238,.143,8.0,17.4,12.5,13.3,1.4,0.0,11.8,30.3,102,111,-3.6
Dennis Schröder,33:41,3,11,.273,1,2,.500,1,1,1.000,1,5,6,12,1,0,0,2,8,-2,33:41,.350,.318,.182,.091,2.9,15.5,8.9,45.3,1.5,0.0,0.0,14.7,122,112,1.7
OG Anunoby,33:31,5,10,.500,3,5,.600,0,1,.000,0,3,3,1,3,1,0,3,13,+1,33:31,.623,.650,.500,.100,0.0,9.3,4.5,4.1,4.5,2.1,0.0,13.4,129,106,4.6
Jakob Poeltl,29:42,8,9,.889,0,0,,1,2,.500,2,2,4,1,0,1,2,4,17,+1,29:42,.860,.889,.000,.222,6.5,7.0,6.7,5.6,0.0,2.4,16.8,17.3,138,116,1.2
Gary Trent Jr.,25:09,5,13,.385,3,7,.429,0,0,,0,5,5,2,0,0,0,1,13,0,25:09,.500,.500,.538,.000,0.0,20.7,9.9,11.8,0.0,0.0,0.0,22.3,113,113,-1.1
Precious Achiuwa,18:17,5,10,.500,1,1,1.000,3,4,.750,6,4,10,1,2,0,1,2,14,+6,18:17,.595,.550,.100,.400,31.5,22.8,27.3,9.1,5.5,0.0,7.8,30.1,132,100,9.6
Malachi Flynn,14:18,0,3,.000,0,3,.000,2,2,1.000,1,4,5,1,0,0,1,0,2,+9,14:18,.258,.000,1.000,.667,6.7,29.2,17.5,8.0,0.0,0.0,20.5,14.7,70,110,-11.0
Jalen McDaniels,8:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,2,0,-3,8:34,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,15.1,0,121,-27.3
Chris Boucher,2:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2:57,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-8.5
Gradey Dick,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,93,.452,10,27,.370,18,21,.857,15,34,49,25,7,5,9,22,112,,240,.548,.505,.290,.226,30.0,73.9,51.0,59.5,7.3,7.4,8.1,100.0,117.5,110.2,
