Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyrie Irving,35:56,3,15,.200,0,5,.000,4,5,.800,0,5,5,5,0,0,1,2,10,-6,35:56,.291,.200,.333,.333,0.0,15.9,7.1,22.3,0.0,0.0,5.5,21.7,75,120,-14.2
Derrick Jones Jr.,31:09,6,14,.429,4,7,.571,0,0,,3,1,4,1,1,0,1,1,16,-23,31:09,.479,.450,.300,.100,0.0,7.3,3.3,27.7,4.9,0.0,22.3,18.5,87,111,-2.5
Josh Green,31:09,4,10,.400,1,3,.333,1,1,1.000,0,2,2,5,3,0,3,0,10,-6,31:09,.571,.571,.500,.000,8.9,3.7,6.6,6.2,1.6,0.0,6.7,20.6,109,120,-0.3
Grant Williams,31:04,4,12,.333,3,9,.333,5,6,.833,2,6,8,3,1,1,1,3,16,-18,31:04,.546,.458,.750,.500,5.9,22.1,13.1,16.7,1.6,2.8,6.4,21.5,117,112,2.2
Dereck Lively II,22:31,2,5,.400,0,0,,0,0,,1,4,5,1,1,2,2,1,4,-8,22:31,.400,.400,.000,.000,4.1,20.3,11.3,7.2,2.3,7.6,28.6,13.3,66,108,-8.9
Jaden Hardy,20:51,4,9,.444,0,4,.000,0,2,.000,2,3,5,5,1,0,2,1,8,-10,20:51,.405,.444,.444,.222,8.9,16.4,12.2,46.4,2.4,0.0,16.8,24.4,88,114,-3.1
Richaun Holmes,17:33,2,4,.500,0,0,,1,2,.500,3,4,7,2,1,2,1,1,5,+5,17:33,.512,.500,.000,.500,15.8,26.0,20.4,19.2,2.9,9.8,17.0,14.3,111,104,2.5
Seth Curry,16:19,5,10,.500,2,4,.500,0,0,,0,2,2,2,1,0,0,2,12,-5,16:19,.600,.600,.400,.000,0.0,14.0,6.3,30.5,3.1,0.0,0.0,26.2,120,113,7.2
Markieff Morris,13:35,2,7,.286,2,4,.500,0,0,,2,1,3,1,0,0,0,2,6,-11,13:35,.429,.429,.571,.000,13.6,8.4,11.3,13.1,0.0,0.0,0.0,22.0,104,122,-4.8
Olivier-Maxence Prosper,11:17,0,1,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,0,2,+4,11:17,.532,.000,1.000,2.000,0.0,0.0,0.0,25.0,0.0,0.0,0.0,7.1,149,125,-2.8
Dexter Dennis,4:18,2,4,.500,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,4,+4,4:18,.450,.500,.250,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,85,125,-6.2
A.J. Lawson,4:18,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,+4,4:18,.266,.000,1.000,2.000,0.0,26.6,11.9,0.0,0.0,0.0,0.0,18.7,62,116,-16.2
Dwight Powell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,92,.370,12,39,.308,14,21,.667,13,29,42,27,9,5,11,13,94,,240,.464,.435,.424,.228,25.0,69.0,44.7,79.4,9.5,8.9,9.8,100.0,99.4,114.3,
