Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,33:12,4,7,.571,1,3,.333,2,2,1.000,1,6,7,3,1,0,2,2,11,-7,33:12,.698,.643,.429,.286,3.6,21.2,12.5,13.5,1.5,0.0,20.2,13.0,121,123,-1.4
Jeremy Sochan,31:16,4,13,.308,2,4,.500,3,4,.750,0,3,3,4,0,0,2,2,13,-9,31:16,.440,.385,.308,.308,0.0,11.2,5.7,19.3,0.0,0.0,11.9,23.5,91,129,-8.0
Zach Collins,24:05,3,11,.273,1,5,.200,5,6,.833,3,2,5,3,2,1,3,2,12,-18,24:05,.440,.318,.455,.545,14.9,9.7,12.3,18.7,4.1,3.7,18.0,30.3,93,117,-3.8
Julian Champagnie,22:14,4,7,.571,3,6,.500,1,1,1.000,1,4,5,3,0,0,3,3,12,-7,22:14,.806,.786,.857,.143,5.4,21.1,13.3,22.1,0.0,0.0,28.7,20.6,114,126,1.2
Malaki Branham,21:32,4,7,.571,2,3,.667,0,0,,0,2,2,0,0,0,3,1,10,+2,21:32,.714,.714,.429,.000,0.0,10.9,5.5,0.0,0.0,0.0,30.0,20.4,81,129,-8.2
Cedi Osman,27:23,4,9,.444,2,5,.400,1,2,.500,0,2,2,5,0,1,0,3,11,-17,27:23,.557,.556,.556,.222,0.0,8.6,4.3,28.3,0.0,3.2,0.0,15.8,130,127,1.5
Devin Vassell,26:32,5,12,.417,2,7,.286,2,2,1.000,0,0,0,1,2,0,3,2,14,-16,26:32,.543,.500,.583,.167,0.0,0.0,0.0,6.2,3.7,0.0,18.9,26.2,87,123,-6.7
Tre Jones,22:41,4,9,.444,2,4,.500,0,0,,1,2,3,3,0,0,2,1,10,-10,22:41,.556,.556,.444,.000,5.3,10.3,7.8,21.5,0.0,0.0,18.2,21.3,101,129,-5.3
Charles Bassey,19:25,4,4,1.000,0,0,,0,0,,1,10,11,3,0,3,1,4,8,+5,19:25,1.000,1.000,.000,.000,6.2,60.3,33.6,26.4,0.0,13.7,20.0,11.3,166,107,11.6
Sandro Mamukelashvili,6:04,1,3,.333,1,2,.500,0,0,,1,0,1,1,0,0,0,1,3,0,6:04,.500,.500,.667,.000,19.8,0.0,9.8,26.3,0.0,0.0,0.0,21.7,127,131,1.3
Dominick Barlow,2:48,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1,2:48,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,200,131,6.4
Blake Wesley,2:48,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+1,2:48,,,,,0.0,0.0,0.0,90.2,0.0,0.0,,0.0,242,131,13.4
Devonte' Graham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,83,.458,16,39,.410,14,17,.824,8,31,39,28,5,5,19,21,106,,240,.586,.554,.470,.205,20.0,75.6,48.1,73.7,5.1,9.3,17.4,100.0,108.4,123.8,
