Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,38:02,11,20,.550,3,4,.750,3,3,1.000,3,10,13,7,0,0,2,2,28,+1,38:02,.657,.625,.200,.150,9.0,30.0,19.5,27.5,0.0,0.0,8.6,25.0,133,121,4.0
Franz Wagner,34:29,9,17,.529,1,3,.333,12,14,.857,1,6,7,8,0,0,0,0,31,0,34:29,.669,.559,.176,.824,3.3,19.9,11.6,33.3,0.0,0.0,0.0,27.4,153,123,8.2
Jalen Suggs,26:37,5,9,.556,2,6,.333,3,5,.600,0,2,2,4,3,2,3,4,15,+10,26:37,.670,.667,.667,.556,0.0,8.6,4.3,19.5,5.1,5.9,21.1,21.8,109,108,4.1
Goga Bitadze,24:13,1,1,1.000,1,1,1.000,0,0,,1,4,5,4,0,2,3,4,3,+2,24:13,1.500,1.500,1.000,.000,4.7,18.9,11.8,18.0,0.0,6.5,75.0,6.7,94,117,-1.6
Anthony Black,23:04,2,4,.500,1,1,1.000,1,2,.500,0,2,2,3,0,1,1,3,6,-5,23:04,.615,.625,.250,.500,0.0,9.9,5.0,14.9,0.0,3.4,17.0,10.4,116,121,-3.9
Joe Ingles,24:37,5,11,.455,3,7,.429,1,1,1.000,0,3,3,7,0,0,0,3,14,+13,24:37,.612,.591,.636,.091,0.0,13.9,7.0,37.7,0.0,0.0,0.0,19.0,142,123,2.1
Moritz Wagner,22:53,8,13,.615,0,2,.000,2,3,.667,4,2,6,0,1,1,3,1,18,+9,22:53,.628,.615,.154,.231,20.0,10.0,15.0,0.0,2.0,3.4,17.3,30.9,108,117,-4.2
Gary Harris,22:16,3,9,.333,1,6,.167,1,2,.500,0,0,0,0,0,0,1,0,8,-11,22:16,.405,.389,.667,.222,0.0,0.0,0.0,0.0,0.0,0.0,9.2,20.0,74,126,-15.3
Cole Anthony,16:58,1,3,.333,0,0,,2,2,1.000,0,1,1,2,2,1,1,5,4,-4,16:58,.515,.333,.000,.667,0.0,6.7,3.4,13.1,5.3,4.6,20.5,11.7,103,108,-4.1
Jonathan Isaac,6:49,1,2,.500,0,1,.000,1,1,1.000,1,4,5,0,0,1,0,1,3,+10,6:49,.615,.500,.500,.500,16.8,67.1,41.9,0.0,0.0,11.5,0.0,14.6,145,105,1.3
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chuma Okeke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Admiral Schofield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,89,.517,12,31,.387,26,33,.788,10,34,44,35,6,8,14,23,130,,240,.628,.584,.348,.371,23.8,81.0,52.4,76.1,5.7,13.1,11.9,100.0,122.8,118.1,
