Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malik Beasley,39:22,6,11,.545,4,7,.571,0,0,,1,3,4,3,1,0,2,1,16,+2,39:22,.727,.727,.636,.000,3.7,7.2,5.8,8.0,1.2,0.0,15.4,14.3,128,123,0.5
Damian Lillard,38:25,10,16,.625,3,6,.500,2,2,1.000,1,5,6,9,1,0,4,3,25,+14,38:25,.741,.719,.375,.125,3.8,12.2,8.9,27.8,1.2,0.0,19.2,23.6,133,120,2.6
Giannis Antetokounmpo,36:19,14,20,.700,0,1,.000,4,5,.800,2,9,11,10,2,1,5,1,32,+8,36:19,.721,.700,.050,.250,8.0,23.3,17.3,38.3,2.6,2.1,18.4,32.5,133,112,11.5
Brook Lopez,33:24,3,7,.429,1,4,.250,4,6,.667,1,1,2,4,0,4,2,2,11,+2,33:24,.571,.500,.571,.857,4.4,2.8,3.4,11.8,0.0,9.1,17.2,15.1,117,121,-0.1
Khris Middleton,24:45,5,9,.556,2,4,.500,0,0,,0,5,5,3,1,0,1,0,12,-8,24:45,.667,.667,.444,.000,0.0,19.0,11.5,13.4,1.9,0.0,10.0,17.5,128,117,1.3
Bobby Portis,22:41,7,13,.538,1,4,.250,0,0,,2,9,11,0,0,0,0,3,15,+9,22:41,.577,.577,.308,.000,12.8,37.3,27.7,0.0,0.0,0.0,0.0,24.9,123,113,-5.1
Cameron Payne,19:41,7,11,.636,2,6,.333,2,2,1.000,0,3,3,2,0,0,1,5,18,+5,19:41,.758,.727,.545,.182,0.0,14.3,8.7,13.6,0.0,0.0,7.8,28.4,141,122,-0.4
MarJon Beauchamp,16:45,1,2,.500,1,1,1.000,0,0,,0,1,1,2,0,1,0,3,3,+14,16:45,.750,.750,.500,.000,0.0,5.6,3.4,11.4,0.0,4.5,0.0,5.2,172,123,1.0
A.J. Green,8:38,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,+9,8:38,,,,,16.8,0.0,6.6,0.0,0.0,0.0,,0.0,225,128,-6.4
Thanasis Antetokounmpo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Marques Bolden,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Livingston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Robin Lopez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
