Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,36:44,11,16,.688,4,6,.667,4,5,.800,0,4,4,2,0,0,1,0,30,+20,36:44,.824,.813,.375,.313,0.0,14.9,8.7,6.3,0.0,0.0,5.2,24.4,151,134,2.4
Obi Toppin,34:46,7,8,.875,4,5,.800,2,2,1.000,0,2,2,2,1,4,0,5,20,+18,34:46,1.126,1.125,.625,.250,0.0,7.9,4.6,6.0,1.4,8.6,0.0,11.9,219,123,11.2
Myles Turner,30:19,8,12,.667,1,4,.250,0,0,,2,8,10,1,0,2,2,4,17,+10,30:19,.708,.708,.333,.000,12.7,36.2,26.4,3.7,0.0,4.9,14.3,21.6,123,126,-4.3
Buddy Hield,24:20,3,7,.429,1,4,.250,0,0,,0,1,1,2,2,0,1,3,7,+20,24:20,.500,.500,.571,.000,0.0,5.6,3.3,7.9,4.0,0.0,12.5,15.4,97,126,-6.7
Andrew Nembhard,23:21,1,9,.111,0,4,.000,2,2,1.000,0,1,1,11,1,0,0,1,4,+10,23:21,.202,.111,.444,.222,0.0,5.9,3.4,41.9,2.1,0.0,0.0,19.8,107,130,-7.6
Aaron Nesmith,28:43,7,9,.778,4,6,.667,4,6,.667,0,4,4,1,0,1,0,4,22,+9,28:43,.945,1.000,.667,.667,0.0,19.1,11.1,3.8,0.0,2.6,0.0,18.9,181,131,6.1
Bennedict Mathurin,25:10,6,10,.600,2,3,.667,2,3,.667,1,4,5,4,0,0,4,4,16,-4,25:10,.707,.700,.300,.300,7.6,21.8,15.9,17.1,0.0,0.0,26.1,28.4,113,133,-6.6
T.J. McConnell,25:06,10,11,.909,0,0,,0,0,,0,2,2,11,0,0,1,0,20,+5,25:06,.909,.909,.000,.000,0.0,10.9,6.4,57.0,0.0,0.0,8.3,22.3,182,134,11.3
Isaiah Jackson,8:05,3,3,1.000,0,0,,2,2,1.000,0,3,3,1,0,1,0,1,8,-6,8:05,1.031,1.000,.000,.667,0.0,50.9,29.7,15.6,0.0,9.3,0.0,22.4,217,120,18.3
Ben Sheppard,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-7,3:23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-16.4
Jordan Nwora,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Oscar Tshiebwe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,56,85,.659,16,32,.500,16,20,.800,3,29,32,35,4,8,9,24,144,,240,.768,.753,.376,.235,12.0,82.9,53.3,62.5,4.0,12.5,8.8,100.0,144.5,129.4,
