Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaren Jackson Jr.,35:27,13,21,.619,2,5,.400,9,10,.900,1,8,9,2,1,1,4,4,37,-7,35:27,.728,.667,.238,.476,3.4,24.6,14.5,12.7,1.3,2.4,13.6,35.7,130,112,9.4
Jaylen Nowell,34:18,3,12,.250,0,4,.000,2,2,1.000,0,1,1,2,1,0,1,5,8,-7,34:18,.311,.250,.333,.167,0.0,3.2,1.7,8.0,1.4,0.0,7.2,17.4,70,120,-12.4
David Roddy,30:02,3,7,.429,2,3,.667,0,0,,2,4,6,1,1,0,1,2,8,-10,30:02,.571,.571,.429,.000,8.0,14.5,11.4,4.7,1.6,0.0,12.5,11.5,116,116,-1.1
Desmond Bane,29:58,10,17,.588,3,6,.500,4,5,.800,1,2,3,5,2,1,2,5,27,-3,29:58,.703,.676,.353,.294,4.0,7.3,5.7,34.8,3.2,2.8,9.4,30.4,138,113,13.6
Bismack Biyombo,17:18,1,5,.200,0,0,,0,0,,2,3,5,1,0,3,2,4,2,-3,17:18,.200,.200,.000,.000,13.9,18.9,16.5,7.7,0.0,14.6,28.6,17.4,56,110,-11.2
Santi Aldama,30:54,3,10,.300,1,6,.167,0,0,,0,7,7,1,3,1,1,5,7,-5,30:54,.350,.350,.600,.000,0.0,24.7,12.9,4.5,4.6,2.7,9.1,15.3,72,105,-4.7
Vince Williams Jr.,29:44,3,5,.600,1,3,.333,5,5,1.000,0,5,5,2,0,0,1,6,12,+2,29:44,.833,.700,.600,1.000,0.0,18.3,9.6,9.5,0.0,0.0,12.2,11.9,156,118,-1.4
John Konchar,19:53,2,5,.400,0,2,.000,2,2,1.000,2,2,4,0,1,1,2,0,6,-2,19:53,.510,.400,.400,.400,12.1,11.0,11.5,0.0,2.4,4.2,25.4,17.1,91,113,-3.4
Xavier Tillman Sr.,12:24,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,1,1,0,2,0,12:24,.250,.250,.500,.000,0.0,0.0,0.0,0.0,0.0,6.8,20.0,17.3,42,121,-12.8
Jacob Gilyard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shaquille Harrison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kenneth Lofton Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,86,.453,9,31,.290,22,24,.917,8,32,40,14,9,8,15,31,109,,240,.564,.506,.360,.279,20.0,72.7,47.6,35.9,8.9,14.0,13.4,100.0,107.4,114.3,
