Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,33:56,6,15,.400,0,2,.000,7,9,.778,1,9,10,8,1,0,1,3,19,-16,33:56,.501,.400,.133,.600,2.8,29.6,15.0,42.7,1.4,0.0,5.0,25.5,113,124,4.5
Franz Wagner,33:41,6,16,.375,2,3,.667,6,6,1.000,1,6,7,5,0,1,1,5,20,-17,33:41,.536,.438,.188,.375,2.8,19.9,10.6,26.9,0.0,2.5,5.1,25.2,113,128,1.6
Jalen Suggs,22:27,3,7,.429,1,3,.333,0,0,,0,0,0,2,1,1,4,5,7,-14,22:27,.500,.500,.429,.000,0.0,0.0,0.0,15.0,2.1,3.8,36.4,21.2,63,129,-11.6
Anthony Black,19:26,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,3,2,-5,19:26,1.000,1.000,.000,.000,0.0,17.2,7.9,7.6,0.0,0.0,0.0,2.2,207,131,-6.8
Goga Bitadze,15:26,1,6,.167,0,0,,1,2,.500,3,2,5,0,0,1,0,2,3,-4,15:26,.218,.167,.000,.333,18.3,14.5,16.5,0.0,0.0,5.5,0.0,19.3,72,128,-14.4
Cole Anthony,31:25,8,17,.471,2,6,.333,2,2,1.000,1,5,6,1,0,1,1,3,20,-32,31:25,.559,.529,.353,.118,3.0,17.8,9.8,6.7,0.0,2.7,5.3,26.0,104,129,-0.5
Moritz Wagner,21:34,6,9,.667,2,2,1.000,4,5,.800,1,1,2,2,0,1,2,2,18,-12,21:34,.804,.778,.222,.556,4.4,5.2,4.7,20.6,0.0,3.9,15.2,26.5,131,132,9.6
Gary Harris,20:45,2,8,.250,0,5,.000,0,0,,0,1,1,2,0,0,0,1,4,-7,20:45,.250,.250,.625,.000,0.0,5.4,2.5,15.2,0.0,0.0,0.0,16.7,62,135,-12.7
Joe Ingles,16:29,1,2,.500,1,1,1.000,2,3,.667,1,1,2,2,1,0,1,2,5,-10,16:29,.753,.750,.500,1.500,5.7,6.8,6.2,18.2,2.9,0.0,23.1,11.3,129,127,0.3
Caleb Houstan,16:07,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,-13,16:07,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,94,136,-7.9
Chuma Okeke,4:22,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-5,4:22,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,29.7,0,137,-36.0
Admiral Schofield,4:22,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-5,4:22,.000,.000,1.000,.000,0.0,25.6,11.7,31.4,0.0,0.0,0.0,19.8,26,129,-14.0
Jonathan Isaac,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,88,.398,9,29,.310,22,27,.815,8,29,37,24,3,5,11,27,101,,240,.506,.449,.330,.307,15.7,67.4,39.4,68.6,3.0,8.8,9.9,100.0,101.2,129.2,
