Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,37:07,9,32,.281,2,7,.286,2,2,1.000,5,10,15,10,1,0,4,2,22,+1,37:07,.335,.313,.219,.063,12.4,28.7,20.0,44.0,1.4,0.0,10.8,42.2,85,114,-0.3
Kentavious Caldwell-Pope,34:10,1,4,.250,1,3,.333,0,0,,0,1,1,3,1,0,0,1,3,+2,34:10,.375,.375,.750,.000,0.0,3.1,1.4,10.6,1.5,0.0,0.0,5.0,109,123,-5.5
Michael Porter Jr.,33:34,7,8,.875,4,5,.800,0,0,,3,6,9,0,0,1,2,2,18,+4,33:34,1.125,1.125,.625,.000,8.2,19.1,13.3,0.0,0.0,2.4,20.0,12.7,152,119,7.0
Aaron Gordon,31:15,4,9,.444,0,0,,0,0,,2,4,6,2,2,0,0,2,8,+6,31:15,.444,.444,.000,.000,5.9,13.7,9.5,8.8,3.2,0.0,0.0,12.2,110,115,-2.2
Jamal Murray,29:11,10,18,.556,2,7,.286,1,1,1.000,0,0,0,6,1,1,1,4,23,+2,29:11,.624,.611,.389,.056,0.0,0.0,0.0,40.2,1.7,2.7,5.1,28.3,127,121,10.6
Reggie Jackson,18:49,4,10,.400,3,4,.750,3,4,.750,0,1,1,3,1,0,2,1,14,-11,18:49,.595,.550,.400,.400,0.0,5.7,2.6,24.8,2.7,0.0,14.5,31.1,109,119,5.8
Peyton Watson,16:18,0,3,.000,0,2,.000,2,2,1.000,0,3,3,3,1,1,1,1,2,-15,16:18,.258,.000,.667,.667,0.0,19.6,9.1,21.5,3.1,4.9,20.5,12.7,75,110,-0.8
Christian Braun,15:59,4,6,.667,0,1,.000,0,0,,1,4,5,0,0,1,0,3,8,-17,15:59,.667,.667,.167,.000,5.8,26.7,15.5,0.0,0.0,5.0,0.0,16.0,134,114,1.1
Julian Strawther,12:53,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,1,4,0,-9,12:53,.000,.000,1.000,.000,0.0,8.3,3.8,18.2,0.0,0.0,33.3,9.9,36,123,-18.4
DeAndre Jordan,10:44,2,6,.333,0,0,,0,0,,3,2,5,0,0,1,0,0,4,-8,10:44,.333,.333,.000,.000,25.8,19.9,23.1,0.0,0.0,7.5,0.0,23.8,94,115,-6.3
Collin Gillespie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Braxton Key,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,98,.418,12,31,.387,8,9,.889,14,32,46,29,7,5,11,20,102,,240,.500,.480,.316,.092,26.9,71.1,47.4,70.7,7.4,8.3,9.7,100.0,107.6,117.1,
