Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Desmond Bane,35:42,19,31,.613,4,8,.500,7,7,1.000,1,5,6,8,1,2,3,2,49,-1,35:42,.719,.677,.258,.226,3.1,14.9,9.2,50.1,1.3,4.8,8.1,44.9,139,102,19.6
Jaren Jackson Jr.,35:00,10,20,.500,2,6,.333,2,3,.667,0,4,4,0,0,3,0,3,24,+15,35:00,.563,.550,.300,.150,0.0,12.2,6.2,0.0,0.0,7.3,0.0,26.3,113,103,-3.2
Bismack Biyombo,25:42,1,3,.333,0,0,,0,0,,2,9,11,4,0,1,2,2,2,-1,25:42,.333,.333,.000,.000,8.7,37.4,23.3,16.6,0.0,3.3,40.0,8.4,93,101,-4.0
David Roddy,21:58,1,3,.333,1,2,.500,1,2,.500,1,5,6,1,2,0,3,1,4,-5,21:58,.515,.500,.667,.667,5.1,24.3,14.9,4.9,4.3,0.0,43.6,13.5,71,97,-6.9
Derrick Rose,15:29,2,7,.286,0,1,.000,0,0,,0,1,1,2,2,0,5,1,4,+2,15:29,.286,.286,.143,.000,0.0,6.9,3.5,15.2,6.1,0.0,41.7,33.5,42,96,-23.2
Santi Aldama,26:05,3,9,.333,1,3,.333,0,0,,3,0,3,3,1,1,1,0,7,+14,26:05,.389,.389,.333,.000,12.8,0.0,6.3,13.3,1.8,3.3,10.0,16.6,101,105,-4.7
Jaylen Nowell,25:57,6,8,.750,0,2,.000,0,0,,0,2,2,4,1,0,0,0,12,+8,25:57,.750,.750,.250,.000,0.0,8.2,4.2,20.6,1.8,0.0,0.0,13.3,160,106,3.3
Vince Williams Jr.,24:46,1,2,.500,1,2,.500,0,0,,0,4,4,1,1,0,0,0,3,+17,24:46,.750,.750,1.000,.000,0.0,17.2,8.8,4.3,1.9,0.0,0.0,3.5,157,104,-4.2
John Konchar,21:44,3,4,.750,2,2,1.000,1,2,.500,1,6,7,2,2,1,0,0,9,+22,21:44,.922,1.000,.500,.500,5.1,29.4,17.6,10.9,4.4,3.9,0.0,9.7,187,92,12.7
Xavier Tillman Sr.,6:32,1,4,.250,0,0,,0,0,,1,0,1,1,0,0,0,0,2,-1,6:32,.250,.250,.000,.000,17.1,0.0,8.3,18.5,0.0,0.0,0.0,26.4,83,112,-14.7
Jacob Gilyard,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-13.2
Kenneth Lofton Jr.,0:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,0:20,,,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,0,44,11.0
Ziaire Williams,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-10.4
Team Totals,240,47,91,.516,11,26,.423,11,14,.786,9,37,46,26,10,8,14,9,116,,240,.597,.577,.286,.154,20.9,82.2,52.3,55.3,9.9,14.3,12.6,100.0,114.9,101.1,
