Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,36:58,13,18,.722,0,0,,7,9,.778,0,3,3,6,6,1,2,4,33,-6,36:58,.751,.722,.000,.500,0.0,10.8,4.7,38.7,7.9,2.6,8.3,29.5,139,102,19.3
Jalen Williams,32:51,5,13,.385,0,1,.000,3,3,1.000,0,5,5,3,1,0,2,2,13,-6,32:51,.454,.385,.077,.231,0.0,20.3,8.8,14.8,1.5,0.0,12.3,22.6,85,116,-7.6
Chet Holmgren,25:59,2,9,.222,0,4,.000,0,0,,1,4,5,2,1,6,1,2,4,-16,25:59,.222,.222,.444,.000,3.9,20.5,11.1,11.1,1.9,22.2,10.0,17.5,55,102,-4.1
Josh Giddey,24:48,3,11,.273,2,5,.400,0,0,,1,3,4,6,1,0,0,3,8,-11,24:48,.364,.364,.455,.000,4.1,16.1,9.3,37.2,2.0,0.0,0.0,20.2,94,116,0.5
Luguentz Dort,14:32,0,5,.000,0,3,.000,4,4,1.000,2,1,3,0,0,0,1,1,4,-27,14:32,.296,.000,.600,.800,14.1,9.2,11.9,0.0,0.0,0.0,12.9,24.3,71,122,-16.3
Cason Wallace,24:57,2,5,.400,1,2,.500,0,0,,0,3,3,0,2,1,0,3,5,+12,24:57,.500,.500,.400,.000,0.0,16.0,7.0,0.0,3.9,3.8,0.0,9.1,93,109,-2.4
Tre Mann,24:07,4,8,.500,2,4,.500,0,0,,0,3,3,4,2,0,1,0,10,+7,24:07,.625,.625,.500,.000,0.0,16.6,7.2,27.4,4.0,0.0,11.1,17.0,114,111,6.0
Aaron Wiggins,15:27,4,4,1.000,0,0,,3,4,.750,0,1,1,0,1,0,0,3,11,-5,15:27,.955,1.000,.000,1.000,0.0,8.6,3.7,0.0,3.1,0.0,0.0,17.0,195,114,6.9
Kenrich Williams,14:51,3,5,.600,2,4,.500,0,2,.000,0,2,2,1,0,2,0,1,8,-1,14:51,.680,.800,.800,.400,0.0,18.0,7.8,11.8,0.0,12.9,0.0,18.0,124,112,9.9
Isaiah Joe,13:34,1,5,.200,1,4,.250,0,0,,0,1,1,0,0,0,1,1,3,+3,13:34,.300,.300,.800,.000,0.0,9.8,4.3,0.0,0.0,0.0,16.7,20.1,47,122,-17.0
Jaylin Williams,11:52,0,4,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,+5,11:52,.205,.000,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,44,124,-19.1
Dāvis Bertāns,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vasilije Micić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aleksej Pokusevski,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,87,.425,8,29,.276,19,24,.792,4,26,30,22,14,10,8,21,101,,240,.518,.471,.333,.276,8.5,72.2,36.1,59.5,14.1,20.0,7.6,100.0,102.0,111.1,
