Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dillon Brooks,39:45,9,17,.529,2,7,.286,3,3,1.000,2,2,4,2,1,0,3,2,23,+3,39:45,.628,.588,.412,.176,6.7,5.1,5.8,8.3,1.2,0.0,14.1,23.1,115,105,0.3
Fred VanVleet,37:46,4,14,.286,3,7,.429,0,0,,0,3,3,9,3,1,3,0,11,+11,37:46,.393,.393,.500,.000,0.0,8.1,4.6,32.8,3.9,2.2,17.6,19.3,96,97,1.7
Alperen Sengun,35:21,8,13,.615,0,2,.000,5,11,.455,1,5,6,7,1,2,4,4,21,+12,35:21,.589,.615,.154,.846,3.8,14.4,9.8,32.6,1.4,4.7,18.3,26.6,111,99,4.7
Jabari Smith Jr.,31:56,2,4,.500,1,1,1.000,1,1,1.000,4,14,18,1,0,0,3,1,6,+9,31:56,.676,.625,.250,.250,16.7,44.8,32.6,4.1,0.0,0.0,40.3,10.0,102,103,-1.2
Jalen Green,25:11,6,12,.500,1,3,.333,2,2,1.000,0,7,7,1,0,0,3,3,15,0,25:11,.582,.542,.250,.167,0.0,28.4,16.1,6.7,0.0,0.0,18.9,27.1,95,105,-6.0
Aaron Holiday,26:54,8,13,.615,6,7,.857,0,0,,1,5,6,4,1,0,0,3,22,-5,26:54,.846,.846,.538,.000,5.0,19.0,12.9,27.7,1.8,0.0,0.0,20.8,172,102,19.2
Tari Eason,22:09,2,6,.333,2,4,.500,3,4,.750,2,6,8,4,0,2,1,2,9,+8,22:09,.580,.500,.667,.667,12.0,27.7,20.9,24.3,0.0,7.5,11.4,17.0,134,97,10.0
Jae'Sean Tate,14:29,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,1,0,+3,14:29,.000,.000,.500,.000,0.0,7.1,4.0,0.0,0.0,0.0,50.0,11.9,0,108,-17.8
Reggie Bullock,6:25,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,+4,6:25,.615,.500,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,133,109,-1.7
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeenathan Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,83,.482,15,33,.455,15,22,.682,10,43,53,28,6,5,19,16,110,,240,.593,.572,.398,.265,27.8,91.5,63.9,70.0,6.1,8.6,17.0,100.0,111.1,102.0,
