Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,38:10,10,20,.500,2,6,.333,4,4,1.000,0,1,1,7,1,0,0,2,26,+12,38:10,.597,.550,.300,.200,0.0,3.7,1.7,25.6,1.2,0.0,0.0,23.2,136,123,2.2
Joel Embiid,38:02,19,29,.655,1,2,.500,11,13,.846,6,7,13,7,1,1,6,2,50,+8,38:02,.720,.672,.069,.448,18.5,26.0,21.9,38.4,1.2,2.2,14.7,43.6,133,120,14.9
Tobias Harris,34:52,3,9,.333,0,1,.000,0,0,,2,4,6,1,2,0,0,2,6,+10,34:52,.333,.333,.111,.000,6.7,16.2,11.0,3.2,2.7,0.0,0.0,10.5,93,120,-7.6
Nicolas Batum,32:34,2,4,.500,1,3,.333,4,7,.571,1,5,6,5,0,0,0,2,9,+7,32:34,.636,.625,.750,1.750,3.6,21.7,11.8,16.7,0.0,0.0,0.0,8.8,154,125,0.9
De'Anthony Melton,27:18,5,10,.500,2,5,.400,7,7,1.000,0,5,5,4,2,1,1,1,19,+12,27:18,.726,.600,.500,.700,0.0,25.9,11.7,18.4,3.4,3.1,7.1,21.0,149,114,10.4
Patrick Beverley,20:35,2,7,.286,1,5,.200,0,0,,0,4,4,4,1,0,2,0,5,-7,20:35,.357,.357,.714,.000,0.0,27.4,12.4,22.0,2.2,0.0,22.2,17.8,78,120,-6.0
Kelly Oubre Jr.,19:25,5,8,.625,1,3,.333,1,1,1.000,1,2,3,1,0,0,1,1,12,-3,19:25,.711,.688,.375,.125,6.0,14.5,9.9,7.1,0.0,0.0,10.6,19.8,131,126,-0.3
Marcus Morris,15:06,1,4,.250,0,1,.000,2,2,1.000,1,2,3,0,0,0,0,0,4,-8,15:06,.410,.250,.250,.500,7.8,18.7,12.7,0.0,0.0,0.0,0.0,13.2,107,126,-8.9
Paul Reed,9:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,-3,9:58,.000,.000,1.000,.000,0.0,14.2,6.4,0.0,0.0,0.0,0.0,4.1,0,126,-16.7
Robert Covington,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-3,4:00,,,,,0.0,35.3,16.0,0.0,0.0,0.0,100.0,10.2,0,125,-21.0
Mo Bamba,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Danuel House Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Furkan Korkmaz,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
KJ Martin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Springer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,92,.511,8,27,.296,29,34,.853,11,32,43,29,7,2,11,14,131,,240,.612,.554,.293,.370,26.8,94.1,57.3,61.7,6.8,3.5,9.3,100.0,126.3,121.5,
