Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,36:53,4,17,.235,2,5,.400,7,8,.875,1,6,7,6,1,1,3,2,17,+14,36:53,.414,.294,.294,.471,2.8,13.7,8.8,25.4,1.3,2.0,12.8,27.8,92,95,-0.9
Mike Conley,32:55,5,13,.385,4,10,.400,4,4,1.000,0,4,4,4,3,0,1,3,18,+9,32:55,.610,.538,.769,.308,0.0,10.2,5.6,20.3,4.4,0.0,6.3,20.8,127,91,8.3
Karl-Anthony Towns,32:04,5,6,.833,2,3,.667,2,3,.667,1,9,10,2,0,1,6,2,14,-14,32:04,.956,1.000,.500,.500,3.2,23.6,14.4,10.5,0.0,2.3,45.0,18.1,96,93,0.2
Rudy Gobert,30:12,7,8,.875,0,0,,2,2,1.000,5,15,20,2,0,2,1,3,16,+31,30:12,.901,.875,.000,.250,16.9,41.8,30.6,12.8,0.0,4.9,10.1,14.2,172,84,12.7
Nickeil Alexander-Walker,19:39,3,8,.375,1,6,.167,0,0,,0,2,2,0,0,0,1,1,7,+2,19:39,.438,.438,.750,.000,0.0,8.6,4.7,0.0,0.0,0.0,11.1,19.9,78,101,-8.6
Naz Reid,28:59,7,18,.389,1,7,.143,0,0,,4,5,9,2,0,1,1,2,15,+10,28:59,.417,.417,.389,.000,14.1,14.5,14.3,13.6,0.0,2.5,5.3,28.5,96,97,-2.1
Troy Brown Jr.,25:17,3,9,.333,2,8,.250,0,0,,0,1,1,2,0,1,1,1,8,+7,25:17,.444,.444,.889,.000,0.0,3.3,1.8,12.5,0.0,2.9,10.0,17.2,90,101,-2.2
Kyle Anderson,21:59,2,6,.333,0,0,,3,4,.750,0,1,1,2,0,4,0,2,7,-7,21:59,.451,.333,.000,.667,0.0,3.8,2.1,13.8,0.0,13.4,0.0,15.4,109,93,5.0
Shake Milton,12:02,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-12,12:02,.000,.000,.500,.000,0.0,7.0,3.8,0.0,0.0,0.0,0.0,7.2,0,102,-11.9
Josh Minott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daishen Nix,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,87,.414,12,40,.300,18,21,.857,11,44,55,20,4,10,14,16,102,,240,.530,.483,.460,.241,23.4,77.2,52.9,55.6,4.0,15.4,12.7,100.0,102.4,94.4,
