Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Coby White,39:07,9,15,.600,5,7,.714,1,1,1.000,0,4,4,6,1,0,3,0,24,+18,39:07,.777,.767,.467,.067,0.0,11.7,4.9,20.5,1.3,0.0,16.3,18.9,140,124,6.8
DeMar DeRozan,38:38,7,24,.292,0,2,.000,6,10,.600,1,5,6,10,3,0,2,2,20,+13,38:38,.352,.292,.083,.417,2.1,14.8,7.5,32.4,4.0,0.0,6.6,31.6,100,117,-3.6
Nikola Vučević,36:00,9,22,.409,0,2,.000,3,3,1.000,10,6,16,2,0,1,0,2,21,+15,36:00,.450,.409,.091,.136,23.0,19.0,21.3,7.6,0.0,3.3,0.0,26.0,128,123,-3.0
Patrick Williams,34:23,8,11,.727,2,3,.667,2,4,.500,1,5,6,3,1,1,0,3,20,+20,34:23,.784,.818,.273,.364,2.4,16.6,8.4,11.7,1.5,3.4,0.0,14.9,169,120,8.4
Alex Caruso,18:25,2,5,.400,0,2,.000,0,0,,1,2,3,2,1,0,2,2,4,-3,18:25,.400,.400,.400,.000,4.5,12.4,7.8,12.5,2.8,0.0,28.6,15.3,80,120,-10.5
Ayo Dosunmu,26:02,2,5,.400,0,2,.000,0,0,,0,3,3,3,1,0,0,1,4,-2,26:02,.400,.400,.400,.000,0.0,13.2,5.5,12.8,2.0,0.0,0.0,7.7,121,122,-5.9
Torrey Craig,22:36,5,8,.625,5,7,.714,1,2,.500,4,4,8,0,2,0,0,3,16,+1,22:36,.901,.938,.875,.250,14.6,20.2,17.0,0.0,4.6,0.0,0.0,15.8,189,114,16.3
Andre Drummond,12:00,3,7,.429,0,0,,1,4,.250,6,2,8,0,0,0,0,2,7,-6,12:00,.400,.429,.000,.571,41.4,19.0,32.0,0.0,0.0,0.0,0.0,29.3,116,125,-11.1
Jevon Carter,8:37,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3,-7,8:37,.375,.375,.750,.000,0.0,0.0,0.0,13.4,0.0,0.0,0.0,18.6,108,130,-12.4
Julian Phillips,4:12,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,-4,4:12,1.000,1.000,.000,.000,19.7,27.2,22.9,0.0,0.0,0.0,0.0,9.6,206,122,-1.2
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dalen Terry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,102,.461,13,28,.464,14,24,.583,24,32,56,27,9,2,7,19,121,,240,.537,.525,.275,.235,41.4,76.2,56.0,57.4,9.7,4.9,5.9,100.0,130.1,120.4,
