Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,34:47,6,11,.545,6,11,.545,2,2,1.000,0,2,2,5,0,1,0,3,20,-7,34:47,.842,.818,1.000,.182,0.0,4.8,2.8,22.5,0.0,1.9,0.0,15.8,166,135,6.9
Jeremy Sochan,33:59,2,6,.333,0,2,.000,0,0,,0,3,3,4,0,1,5,3,4,-9,33:59,.333,.333,.333,.000,0.0,7.3,4.2,15.6,0.0,1.9,45.5,15.0,55,134,-17.0
Devin Vassell,33:36,4,15,.267,1,9,.111,2,3,.667,0,2,2,5,1,0,3,1,11,-14,33:36,.337,.300,.600,.200,0.0,4.9,2.9,21.5,1.5,0.0,15.5,26.6,75,134,-17.4
Victor Wembanyama,31:49,8,20,.400,0,4,.000,5,6,.833,7,13,20,4,1,4,1,2,21,-22,31:49,.464,.400,.200,.300,25.1,33.8,30.2,22.4,1.6,8.2,4.2,34.4,116,111,1.1
Malaki Branham,23:29,3,6,.500,2,4,.500,2,2,1.000,0,0,0,2,0,1,0,2,10,-17,23:29,.727,.667,.667,.333,0.0,0.0,0.0,12.4,0.0,2.8,0.0,13.5,152,138,-1.7
Tre Jones,28:22,6,7,.857,2,2,1.000,4,4,1.000,0,5,5,8,1,0,1,2,18,+12,28:22,1.027,1.000,.286,.571,0.0,14.6,8.5,46.9,1.8,0.0,10.2,15.9,192,127,11.3
Zach Collins,23:11,4,5,.800,2,2,1.000,2,3,.667,3,7,10,5,1,0,1,1,12,+13,23:11,.949,1.000,.400,.600,14.8,25.0,20.7,33.7,2.2,0.0,13.7,14.6,174,120,13.4
Doug McDermott,14:54,3,6,.500,3,4,.750,0,0,,0,1,1,1,0,0,1,2,9,+10,14:54,.750,.750,.667,.000,0.0,5.6,3.2,11.0,0.0,0.0,14.3,21.7,112,135,-3.5
Cedi Osman,9:59,3,7,.429,1,4,.250,0,0,,0,1,1,1,0,1,0,1,7,+1,9:59,.500,.500,.571,.000,0.0,8.3,4.8,19.6,0.0,6.5,0.0,32.4,104,131,-3.3
Julian Champagnie,5:54,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-12,5:54,,,,,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0,130,-12.7
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Charles Bassey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Devonte' Graham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Blake Wesley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,83,.470,17,42,.405,17,20,.850,10,34,44,35,4,9,12,20,112,,240,.610,.572,.506,.241,23.8,58.6,44.0,89.7,4.3,12.2,11.6,100.0,120.4,130.1,
