Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,42:20,15,30,.500,0,3,.000,8,11,.727,3,2,5,5,5,1,0,4,38,+11,42:20,.545,.500,.100,.367,8.0,4.8,6.3,19.4,5.6,2.2,0.0,35.5,126,118,8.7
Jalen Williams,39:50,12,15,.800,1,1,1.000,3,4,.750,0,5,5,2,3,1,1,3,28,-8,39:50,.835,.833,.067,.267,0.0,12.8,6.7,7.6,3.6,2.4,5.6,19.2,161,119,9.0
Luguentz Dort,39:24,4,9,.444,0,3,.000,8,8,1.000,4,1,5,1,0,1,1,4,16,+6,39:24,.639,.444,.333,.889,11.4,2.6,6.8,2.9,0.0,2.4,7.4,14.8,141,132,-2.7
Chet Holmgren,34:35,6,12,.500,1,4,.250,8,8,1.000,2,5,7,1,0,3,3,4,21,-3,34:35,.677,.542,.333,.667,6.5,14.7,10.8,3.7,0.0,8.2,16.2,23.1,125,124,-1.2
Josh Giddey,24:43,4,12,.333,1,6,.167,0,0,,1,8,9,4,3,0,1,2,9,-10,24:43,.375,.375,.500,.000,4.6,33.0,19.5,20.2,5.8,0.0,7.7,22.7,93,104,0.4
Cason Wallace,23:54,4,5,.800,1,2,.500,1,2,.500,0,1,1,0,1,1,1,0,10,+1,23:54,.850,.900,.400,.400,0.0,4.3,2.2,0.0,2.0,4.0,14.5,12.4,141,127,2.9
Isaiah Joe,22:42,1,4,.250,0,3,.000,3,3,1.000,0,1,1,1,3,0,0,1,5,+28,22:42,.470,.250,.750,.750,0.0,4.5,2.4,4.8,6.3,0.0,0.0,10.1,113,118,0.1
Aaron Wiggins,22:01,4,5,.800,1,2,.500,0,0,,1,2,3,1,2,0,1,2,9,-15,22:01,.900,.900,.400,.000,5.1,9.3,7.3,5.8,4.3,0.0,16.7,11.8,153,120,4.8
Kenrich Williams,8:59,1,4,.250,0,3,.000,0,0,,0,2,2,0,0,0,0,1,2,+2,8:59,.250,.250,.750,.000,0.0,22.7,11.9,0.0,0.0,0.0,0.0,19.2,57,123,-17.4
Jaylin Williams,6:18,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,1,0,-4,6:18,.000,.000,1.000,.000,0.0,16.2,8.5,0.0,0.0,0.0,33.3,20.5,0,126,-29.6
Dāvis Bertāns,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,0:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-8.3
Ousmane Dieng,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tre Mann,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vasilije Micić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aleksej Pokusevski,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,51,98,.520,5,29,.172,31,36,.861,11,28,39,15,17,7,9,22,138,,265,.606,.546,.296,.367,23.4,53.8,39.4,29.4,15.2,12.5,7.3,100.0,123.4,121.6,
