Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Michael Porter Jr.,39:36,8,12,.667,3,6,.500,1,1,1.000,1,7,8,0,0,2,2,3,20,+11,39:36,.804,.792,.500,.083,2.5,18.4,10.3,0.0,0.0,5.6,13.9,15.6,131,118,3.4
Nikola Jokić,34:22,9,26,.346,1,2,.500,4,7,.571,7,9,16,5,0,2,3,5,23,+3,34:22,.395,.365,.077,.269,20.4,27.3,23.8,27.5,0.0,6.5,9.4,40.0,93,114,-0.1
Jamal Murray,31:40,6,17,.353,4,8,.500,5,5,1.000,0,5,5,3,0,0,1,2,21,+4,31:40,.547,.471,.471,.294,0.0,16.5,8.1,15.7,0.0,0.0,5.0,27.4,115,121,2.1
Kentavious Caldwell-Pope,25:04,5,6,.833,2,3,.667,2,2,1.000,0,0,0,0,0,1,0,1,14,-16,25:04,1.017,1.000,.500,.333,0.0,0.0,0.0,0.0,0.0,4.5,0.0,11.8,202,124,8.5
Aaron Gordon,22:24,1,5,.200,0,2,.000,1,5,.200,1,5,6,3,0,0,1,1,3,-12,22:24,.208,.200,.400,1.000,4.5,23.3,13.7,17.9,0.0,0.0,12.2,15.7,63,119,-9.5
Peyton Watson,25:36,4,9,.444,0,1,.000,5,5,1.000,1,3,4,2,0,0,1,3,13,+4,25:36,.580,.444,.111,.556,3.9,12.2,8.0,12.3,0.0,0.0,8.2,20.4,122,122,-1.4
Reggie Jackson,24:37,2,8,.250,0,4,.000,2,2,1.000,1,2,3,6,0,0,0,2,6,+4,24:37,.338,.250,.500,.250,4.1,8.5,6.2,34.3,0.0,0.0,0.0,15.5,107,124,-3.7
Christian Braun,14:03,1,4,.250,0,2,.000,0,0,,0,1,1,1,2,0,1,3,2,-9,14:03,.250,.250,.500,.000,0.0,7.4,3.6,9.9,7.1,0.0,20.0,15.3,52,107,-8.0
DeAndre Jordan,12:16,1,2,.500,0,0,,0,0,,1,3,4,2,1,0,1,2,2,-2,12:16,.500,.500,.000,.000,8.2,25.5,16.7,23.0,4.1,0.0,33.3,10.5,100,109,1.5
Justin Holiday,6:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-12,6:00,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,8.3,0.0,0.0,7.2,200,107,7.5
Julian Strawther,4:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-15,4:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-11.8
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,90,.422,10,28,.357,20,27,.741,12,35,47,22,4,5,10,24,106,,240,.520,.478,.311,.300,25.0,76.1,50.0,57.9,4.2,11.6,8.9,100.0,110.0,118.3,
