Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Terry Rozier,39:31,7,15,.467,2,5,.400,5,5,1.000,0,2,2,13,0,0,2,5,21,+5,39:31,.610,.533,.333,.333,0.0,6.4,3.3,44.5,0.0,0.0,10.4,22.7,137,127,-0.9
Miles Bridges,38:28,8,15,.533,3,6,.500,3,3,1.000,0,8,8,3,2,0,1,0,22,+2,38:28,.674,.633,.400,.200,0.0,26.3,13.7,11.0,2.6,0.0,5.8,21.0,131,116,3.0
Brandon Miller,35:20,7,15,.467,4,7,.571,2,2,1.000,0,5,5,3,0,2,4,1,20,+2,35:20,.630,.600,.467,.133,0.0,17.9,9.3,11.8,0.0,4.5,20.1,26.3,101,121,-3.1
Gordon Hayward,34:54,10,15,.667,1,2,.500,3,4,.750,3,1,4,4,1,0,3,1,24,+2,34:54,.716,.700,.133,.267,11.8,3.6,7.5,18.2,1.4,0.0,15.2,26.4,130,125,0.9
Mark Williams,20:16,2,4,.500,0,0,,0,0,,2,1,3,1,1,2,1,2,4,+5,20:16,.500,.500,.000,.000,13.5,6.2,9.7,6.0,2.5,7.8,20.0,11.5,108,118,-4.6
Nick Richards,25:47,5,7,.714,0,0,,5,6,.833,2,6,8,0,1,0,1,2,15,+7,25:47,.778,.714,.000,.857,10.6,29.4,20.4,0.0,1.9,0.0,9.4,19.3,148,116,-0.7
P.J. Washington,24:34,4,7,.571,3,5,.600,0,0,,0,1,1,2,2,0,2,4,11,-7,24:34,.786,.786,.714,.000,0.0,5.1,2.7,10.8,4.1,0.0,22.2,17.1,115,118,0.5
Ish Smith,14:15,1,1,1.000,0,0,,0,0,,0,0,0,4,0,0,1,0,2,+1,14:15,1.000,1.000,.000,.000,0.0,0.0,0.0,33.2,0.0,0.0,50.0,6.6,144,129,-1.0
Bryce McGowens,6:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,6:54,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-7.9
LaMelo Ball,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Leaky Black,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Bouknight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Théo Maledon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
JT Thor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,79,.557,13,25,.520,18,20,.900,7,24,31,30,7,4,15,15,119,,240,.678,.639,.316,.253,20.0,63.2,42.5,68.2,7.3,6.6,14.6,100.0,124.1,121.0,
