Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Coby White,45:06,12,20,.600,6,10,.600,3,4,.750,0,6,6,4,1,0,2,3,33,+1,45:06,.758,.750,.500,.200,0.0,18.1,7.1,14.3,1.1,0.0,8.4,21.3,143,125,9.0
DeMar DeRozan,41:48,14,30,.467,3,6,.500,10,12,.833,0,2,2,11,0,0,2,5,41,+6,41:48,.581,.517,.200,.400,0.0,6.5,2.6,47.7,0.0,0.0,5.4,36.1,129,129,10.1
Patrick Williams,41:13,6,14,.429,1,2,.500,2,2,1.000,4,3,7,2,0,0,1,4,15,-3,41:13,.504,.464,.143,.143,8.6,9.9,9.1,6.5,0.0,0.0,6.3,15.6,117,129,-4.6
Nikola Vučević,38:32,6,16,.375,2,5,.400,0,0,,1,9,10,5,1,1,1,5,14,-2,38:32,.438,.438,.313,.000,2.3,31.7,13.9,17.7,1.3,2.8,5.9,17.8,104,121,-0.4
Ayo Dosunmu,26:29,0,6,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,+2,26:29,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0,130,-18.9
Torrey Craig,28:52,2,9,.222,1,5,.200,2,4,.500,1,4,5,1,0,1,0,6,7,-11,28:52,.325,.278,.556,.444,3.1,18.8,9.3,4.2,0.0,3.7,0.0,15.1,85,124,-10.5
Andre Drummond,14:28,3,12,.250,0,0,,3,3,1.000,11,5,16,1,1,0,0,1,9,-2,14:28,.338,.250,.000,.250,67.2,47.0,59.2,10.2,3.4,0.0,0.0,37.3,118,116,-0.5
Jevon Carter,13:27,3,5,.600,1,2,.500,0,0,,1,4,5,0,0,1,0,0,7,-1,13:27,.700,.700,.400,.000,6.6,40.4,19.9,0.0,0.0,8.0,0.0,15.0,148,119,9.0
Dalen Terry,11:18,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,1,0,2,3,-6,11:18,.750,.750,1.000,.000,0.0,0.0,0.0,11.1,0.0,9.6,0.0,7.2,166,122,2.4
Julian Phillips,3:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,3:47,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,-7.7
Alex Caruso,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,47,114,.412,15,34,.441,20,25,.800,18,33,51,25,3,4,6,27,129,,265,.516,.478,.298,.219,30.0,84.6,51.5,53.2,2.8,8.2,4.6,100.0,120.9,124.7,
