Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,40:57,9,13,.692,0,0,,14,18,.778,1,11,12,6,2,0,2,2,32,+13,40:57,.765,.692,.000,1.385,3.3,23.7,15.7,24.0,2.4,0.0,8.7,26.2,150,114,9.8
Damian Lillard,40:56,3,17,.176,2,9,.222,6,7,.857,0,4,4,9,0,1,2,2,14,0,40:56,.349,.235,.529,.412,0.0,8.6,5.2,29.0,0.0,1.6,9.1,25.2,89,125,-10.4
Brook Lopez,40:12,6,11,.545,2,6,.333,5,6,.833,2,1,3,3,1,3,1,4,19,-1,40:12,.696,.636,.545,.545,6.8,2.2,4.0,11.0,1.2,4.9,6.8,17.0,139,123,2.9
Malik Beasley,39:38,7,11,.636,5,8,.625,0,0,,0,4,4,2,1,0,0,2,19,+6,39:38,.864,.864,.727,.000,0.0,8.9,5.4,7.7,1.3,0.0,0.0,13.0,157,124,5.2
Khris Middleton,32:56,5,11,.455,0,3,.000,3,4,.750,1,12,13,6,1,0,4,4,13,0,32:56,.509,.455,.273,.364,4.1,32.2,21.1,26.9,1.5,0.0,23.9,23.8,96,112,-7.0
Bobby Portis,24:51,7,11,.636,1,3,.333,2,2,1.000,2,5,7,0,0,0,1,3,17,-4,24:51,.715,.682,.273,.182,10.9,17.8,15.1,0.0,0.0,0.0,7.8,24.3,130,122,-2.1
Cameron Payne,17:54,2,4,.500,1,2,.500,0,0,,0,0,0,5,0,0,1,2,5,0,17:54,.625,.625,.500,.000,0.0,0.0,0.0,38.9,0.0,0.0,20.0,13.1,128,130,-2.7
MarJon Beauchamp,13:59,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,+6,13:59,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,95,131,-9.3
A.J. Green,13:37,4,6,.667,4,5,.800,0,0,,0,5,5,3,0,0,0,1,12,0,13:37,1.000,1.000,.833,.000,0.0,32.4,19.7,41.1,0.0,0.0,0.0,20.6,183,115,23.9
Thanasis Antetokounmpo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Andre Jackson Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Robin Lopez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,44,86,.512,15,37,.405,30,37,.811,6,42,48,34,5,4,11,21,133,,265,.650,.599,.430,.430,15.4,70.0,48.5,77.3,4.7,5.0,9.7,100.0,124.7,120.9,
