Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Caleb Martin,38:34,7,14,.500,1,4,.250,5,7,.714,2,7,9,5,0,0,3,3,20,0,38:34,.585,.536,.286,.500,7.5,21.2,15.1,22.0,0.0,0.0,14.9,24.5,115,126,-5.4
Jimmy Butler,35:33,7,12,.583,1,1,1.000,8,9,.889,2,2,4,8,1,1,3,4,23,+13,35:33,.721,.625,.083,.750,8.2,6.6,7.3,39.2,1.5,3.1,15.8,25.1,141,122,4.2
Kyle Lowry,35:00,1,6,.167,1,4,.250,0,2,.000,1,4,5,5,2,0,1,3,3,+6,35:00,.218,.250,.667,.333,4.2,13.4,9.3,19.2,2.9,0.0,12.7,10.6,84,120,-8.6
Duncan Robinson,33:28,8,14,.571,5,9,.556,3,3,1.000,1,6,7,4,2,0,0,0,24,+1,33:28,.783,.750,.643,.214,4.3,21.0,13.6,22.5,3.1,0.0,0.0,21.6,161,119,12.5
Orlando Robinson,22:29,2,5,.400,1,2,.500,2,4,.500,1,5,6,2,0,2,1,5,7,-7,22:29,.518,.500,.400,.800,6.5,26.0,17.3,13.0,0.0,9.9,12.9,16.2,109,117,-6.0
Josh Richardson,25:27,0,7,.000,0,4,.000,2,2,1.000,0,4,4,4,1,0,0,0,2,-11,25:27,.127,.000,.571,.286,0.0,18.4,10.2,20.4,2.0,0.0,0.0,14.6,67,122,-12.2
Jaime Jaquez Jr.,24:13,5,8,.625,2,3,.667,6,6,1.000,0,0,0,1,0,0,2,6,18,-2,24:13,.846,.750,.375,.750,0.0,0.0,0.0,7.3,0.0,0.0,15.8,24.6,138,129,-4.2
Kevin Love,21:28,7,11,.636,4,8,.500,1,1,1.000,1,5,6,1,1,0,0,1,19,+8,21:28,.830,.818,.727,.091,6.8,27.3,18.1,10.5,2.4,0.0,0.0,25.1,159,119,13.9
Thomas Bryant,3:48,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+2,3:48,,,,,0.0,61.6,34.1,34.1,0.0,0.0,,0.0,241,120,8.0
Jamal Cain,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
R.J. Hampton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cole Swider,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,77,.481,15,35,.429,27,34,.794,8,35,43,31,7,3,10,22,116,,240,.631,.578,.455,.442,24.2,85.4,58.1,83.8,7.5,7.0,9.8,100.0,124.6,122.5,
