Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,41:20,7,17,.412,2,8,.250,4,4,1.000,3,5,8,8,1,1,1,4,20,+3,41:20,.533,.471,.471,.235,10.2,15.7,13.1,22.7,1.2,2.3,5.1,21.3,132,133,-2.2
Kawhi Leonard,38:32,11,19,.579,3,8,.375,9,9,1.000,0,6,6,5,3,0,1,2,34,+13,38:32,.740,.658,.421,.474,0.0,20.2,10.5,17.6,3.9,0.0,4.2,27.7,153,127,8.2
James Harden,37:17,7,14,.500,3,6,.500,3,3,1.000,0,7,7,7,1,2,3,2,20,+3,37:17,.653,.607,.429,.214,0.0,24.4,12.7,22.5,1.3,5.1,16.4,21.9,123,129,0.0
Ivica Zubac,33:26,9,13,.692,0,0,,0,0,,3,3,6,2,0,2,0,2,18,+2,33:26,.692,.692,.000,.000,12.7,11.6,12.1,8.0,0.0,5.7,0.0,17.3,152,135,-1.2
Terance Mann,28:42,3,6,.500,1,4,.250,2,2,1.000,2,1,3,4,0,0,0,2,9,+5,28:42,.654,.583,.667,.333,9.8,4.5,7.1,15.2,0.0,0.0,0.0,10.7,163,141,-2.3
Norman Powell,24:55,6,9,.667,2,4,.500,2,2,1.000,0,3,3,1,1,2,0,4,16,+3,24:55,.810,.778,.444,.222,0.0,15.6,8.1,5.1,2.0,7.7,0.0,17.7,164,128,4.8
Russell Westbrook,16:11,5,7,.714,1,2,.500,1,2,.500,1,1,2,6,0,1,4,1,12,0,16:11,.761,.786,.286,.286,8.7,8.0,8.4,52.1,0.0,5.9,33.7,32.7,116,136,4.0
Daniel Theis,14:12,1,3,.333,1,1,1.000,0,0,,0,0,0,0,1,1,0,2,3,+1,14:12,.500,.500,.333,.000,0.0,0.0,0.0,0.0,3.5,6.8,0.0,9.4,104,130,-6.8
Kobe Brown,5:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-5,5:23,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0,142,-22.1
Brandon Boston Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Amir Coffey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Moon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
P.J. Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,89,.551,13,34,.382,21,22,.955,9,26,35,33,7,9,9,20,132,,240,.669,.624,.382,.247,26.5,70.3,49.3,67.3,7.3,18.0,8.4,100.0,136.8,131.7,
