Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Brunson,37:34,7,12,.583,3,5,.600,4,6,.667,0,2,2,9,1,0,7,5,21,+1,37:34,.717,.708,.417,.500,0.0,5.7,3.2,26.7,1.3,0.0,32.3,24.9,113,136,-6.3
Julius Randle,34:59,14,21,.667,1,3,.333,5,7,.714,3,5,8,5,0,0,3,1,34,-1,34:59,.706,.690,.143,.333,11.8,15.2,13.7,20.9,0.0,0.0,11.1,33.4,141,136,3.0
RJ Barrett,32:15,11,21,.524,3,8,.375,2,4,.500,0,3,3,2,1,1,1,1,27,+1,32:15,.593,.595,.381,.190,0.0,9.9,5.6,8.4,1.5,2.6,4.2,31.8,126,133,-2.7
Jericho Sims,20:54,1,2,.500,0,0,,0,0,,3,4,7,1,0,0,0,3,2,+5,20:54,.500,.500,.000,.000,19.7,20.4,20.1,4.6,0.0,0.0,0.0,4.1,172,133,-4.8
Donte DiVincenzo,18:44,1,2,.500,1,2,.500,0,0,,0,4,4,5,0,1,1,3,3,+1,18:44,.750,.750,1.000,.000,0.0,22.8,12.8,25.9,0.0,4.5,33.3,6.9,151,130,1.6
Josh Hart,31:25,6,8,.750,3,3,1.000,1,2,.500,3,4,7,8,1,0,1,4,16,+8,31:25,.901,.938,.375,.250,13.1,13.6,13.4,28.5,1.6,0.0,10.1,13.6,182,133,12.1
Quentin Grimes,26:52,7,11,.636,5,7,.714,0,0,,0,3,3,1,0,0,0,0,19,+10,26:52,.864,.864,.636,.000,0.0,11.9,6.7,4.5,0.0,0.0,0.0,17.7,178,137,6.2
Isaiah Hartenstein,26:51,4,7,.571,0,0,,3,4,.750,5,3,8,2,2,1,2,4,11,0,26:51,.628,.571,.000,.571,25.5,11.9,17.9,8.0,3.7,3.1,18.6,17.3,134,127,-2.3
Miles McBride,10:26,1,2,.500,1,1,1.000,0,0,,0,0,0,3,0,0,0,1,3,+5,10:26,.750,.750,.500,.000,0.0,0.0,0.0,29.1,0.0,0.0,0.0,8.3,196,142,3.1
Ryan Arcidiacono,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Charlie Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DaQuan Jeffries,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Immanuel Quickley,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
