Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Garland,37:45,11,23,.478,4,8,.500,0,0,,0,2,2,7,1,0,2,1,26,-3,37:45,.565,.565,.348,.000,0.0,6.2,3.2,29.7,1.3,0.0,8.0,29.4,113,130,2.1
Max Strus,37:10,6,15,.400,5,11,.455,0,0,,0,9,9,3,0,0,1,4,17,+1,37:10,.567,.567,.733,.000,0.0,28.3,14.5,10.7,0.0,0.0,6.3,19.1,109,125,-1.3
Jarrett Allen,36:30,6,9,.667,0,0,,2,5,.400,2,3,5,5,3,2,2,4,14,+4,36:30,.625,.667,.000,.556,6.7,9.6,8.2,18.2,4.1,6.6,15.2,16.1,124,118,4.9
Donovan Mitchell,35:08,11,22,.500,5,13,.385,2,2,1.000,0,6,6,3,1,0,3,3,29,+6,35:08,.634,.614,.591,.091,0.0,20.0,10.2,14.1,1.4,0.0,11.6,32.8,110,124,3.4
Dean Wade,19:50,2,6,.333,2,6,.333,2,2,1.000,1,2,3,3,0,1,0,3,8,+2,19:50,.581,.500,1.000,.333,6.2,11.8,9.1,18.5,0.0,6.1,0.0,15.4,140,128,5.0
Georges Niang,23:05,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,1,3,-14,23:05,1.500,1.500,1.000,.000,0.0,10.1,5.2,5.0,0.0,0.0,50.0,3.9,122,132,-3.1
Caris LeVert,22:45,5,11,.455,1,4,.250,0,0,,0,2,2,3,0,1,2,1,11,-5,22:45,.500,.500,.364,.000,0.0,10.3,5.3,18.9,0.0,5.3,15.4,25.4,92,129,-4.4
Isaac Okoro,16:16,1,4,.250,1,2,.500,0,0,,0,2,2,1,1,0,1,1,3,-15,16:16,.375,.375,.500,.000,0.0,14.4,7.4,7.2,3.1,0.0,20.0,13.7,69,122,-6.1
Tristan Thompson,11:30,1,1,1.000,0,0,,0,0,,3,1,4,1,0,0,0,0,2,-11,11:30,1.000,1.000,.000,.000,32.1,10.2,20.9,10.5,0.0,0.0,0.0,3.9,227,132,4.3
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sam Merrill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Craig Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,92,.478,19,45,.422,6,9,.667,6,29,35,27,6,4,12,18,113,,240,.589,.582,.489,.098,15.4,70.7,43.8,61.4,6.2,10.0,11.1,100.0,117.3,124.6,
