Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Gordon,32:20,6,13,.462,1,2,.500,1,2,.500,5,2,7,6,0,0,0,1,14,+8,32:20,.504,.500,.154,.154,16.5,7.1,11.9,29.6,0.0,0.0,0.0,19.2,139,122,2.8
Reggie Jackson,31:38,9,16,.563,5,8,.625,2,2,1.000,0,2,2,6,0,0,2,4,25,+11,31:38,.741,.719,.500,.125,0.0,7.2,3.5,35.9,0.0,0.0,10.6,26.8,141,122,6.8
Michael Porter Jr.,31:38,6,16,.375,2,8,.250,3,4,.750,0,7,7,0,1,0,0,1,17,+3,31:38,.479,.438,.500,.250,0.0,25.3,12.2,0.0,1.7,0.0,0.0,25.2,106,112,-5.5
Nikola Jokić,16:24,2,5,.400,0,0,,0,0,,3,6,9,6,0,0,0,1,4,+5,16:24,.400,.400,.000,.000,19.5,41.8,30.3,53.0,0.0,0.0,0.0,13.7,150,110,8.9
Kentavious Caldwell-Pope,12:32,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,4,+10,12:32,.500,.500,.000,.000,0.0,9.1,4.4,0.0,0.0,0.0,0.0,14.3,105,121,-11.8
DeAndre Jordan,24:31,2,4,.500,0,0,,5,10,.500,4,6,10,2,1,2,2,5,9,-6,24:31,.536,.500,.000,2.500,17.4,28.0,22.5,11.2,2.1,8.5,19.2,19.0,112,105,-2.4
Julian Strawther,22:48,4,9,.444,2,5,.400,6,8,.750,0,6,6,3,1,0,2,1,16,+12,22:48,.639,.556,.556,.889,0.0,30.1,14.5,20.7,2.3,0.0,13.8,28.5,123,108,4.1
Christian Braun,22:47,4,6,.667,2,4,.500,3,4,.750,1,1,2,2,0,1,3,1,13,-14,22:47,.838,.833,.667,.667,4.7,5.0,4.8,13.8,0.0,4.6,27.9,21.2,119,120,3.1
Peyton Watson,22:43,1,6,.167,0,0,,2,2,1.000,1,0,1,1,1,1,1,1,4,+7,22:43,.291,.167,.000,.333,4.7,0.0,2.4,5.7,2.3,4.6,12.7,15.5,76,116,-10.1
Justin Holiday,22:38,3,4,.750,2,3,.667,0,0,,1,0,1,2,0,0,0,3,8,+4,22:38,1.000,1.000,.750,.000,4.7,0.0,2.4,13.0,0.0,0.0,0.0,7.9,203,124,2.5
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,83,.470,14,30,.467,22,32,.688,15,31,46,28,4,4,10,20,114,,240,.587,.554,.361,.386,33.3,73.8,52.9,71.8,4.4,8.7,9.3,100.0,124.4,115.7,
