Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keegan Murray,31:16,6,14,.429,0,5,.000,5,6,.833,0,7,7,1,3,0,0,2,17,-21,31:16,.511,.429,.357,.429,0.0,29.0,12.4,5.7,4.5,0.0,0.0,23.1,104,110,1.5
Domantas Sabonis,25:44,5,11,.455,0,2,.000,5,8,.625,5,5,10,3,2,0,2,3,15,-23,25:44,.517,.455,.182,.727,18.7,25.2,21.4,21.0,3.7,0.0,12.1,27.9,108,113,2.7
De'Aaron Fox,25:02,5,16,.313,3,7,.429,1,1,1.000,0,3,3,3,0,0,4,3,14,-14,25:02,.426,.406,.438,.063,0.0,15.5,6.6,21.8,0.0,0.0,19.6,35.4,70,122,-11.8
Harrison Barnes,18:53,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,2,2,-13,18:53,.333,.333,.667,.000,0.0,6.9,2.9,7.6,0.0,0.0,0.0,6.9,79,123,-10.1
Kevin Huerter,16:31,1,8,.125,1,4,.250,0,0,,0,4,4,3,1,0,0,1,3,-8,16:31,.188,.188,.500,.000,0.0,31.4,13.4,26.3,2.9,0.0,0.0,21.0,57,114,-7.0
Malik Monk,21:38,3,8,.375,2,5,.400,0,0,,0,0,0,5,0,0,4,4,8,-20,21:38,.500,.500,.625,.000,0.0,0.0,0.0,37.8,0.0,0.0,33.3,24.1,76,124,-10.4
Trey Lyles,20:18,1,4,.250,0,3,.000,1,2,.500,1,5,6,3,1,0,0,1,3,-19,20:18,.307,.250,.750,.500,4.7,32.0,16.3,21.1,2.3,0.0,0.0,10.4,96,115,-0.7
Sasha Vezenkov,20:00,4,7,.571,1,3,.333,0,0,,0,3,3,3,1,0,0,0,9,+2,20:00,.643,.643,.429,.000,0.0,19.5,8.3,27.3,2.4,0.0,0.0,15.2,131,116,8.0
Davion Mitchell,14:36,0,3,.000,0,1,.000,1,2,.500,0,0,0,2,0,0,0,1,1,-14,14:36,.129,.000,.333,.667,0.0,0.0,0.0,18.3,0.0,0.0,0.0,11.5,53,124,-12.9
Chris Duarte,12:00,1,3,.333,0,2,.000,4,4,1.000,0,2,2,1,0,1,0,1,6,+9,12:00,.630,.333,.667,1.333,0.0,21.6,9.2,12.5,0.0,7.3,0.0,17.2,140,115,4.5
Keon Ellis,11:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,1,2,0,3,+5,11:35,1.500,1.500,1.000,.000,0.0,0.0,0.0,13.0,0.0,7.5,66.7,11.2,67,118,-0.6
Kessler Edwards,8:10,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,7,+12,8:10,1.167,1.167,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,233,124,15.4
Jordan Ford,8:10,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,+12,8:10,1.250,1.250,.500,.000,0.0,15.9,6.8,24.2,0.0,0.0,33.3,15.9,128,122,7.3
JaVale McGee,6:07,3,3,1.000,0,0,,0,1,.000,1,0,1,0,0,0,1,1,6,-8,6:07,.872,1.000,.000,.333,15.7,0.0,9.0,0.0,0.0,0.0,22.5,31.5,114,124,2.3
Alex Len,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,86,.419,10,37,.270,17,24,.708,7,31,38,27,8,2,14,19,99,,240,.513,.477,.430,.279,14.0,83.8,43.7,75.0,7.9,3.6,12.7,100.0,97.7,117.5,
