Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Myles Turner,32:36,8,14,.571,2,2,1.000,4,4,1.000,4,5,9,0,0,2,2,4,22,-5,32:36,.698,.643,.143,.286,12.5,18.0,15.1,0.0,0.0,4.7,11.3,19.8,133,127,1.5
Tyrese Haliburton,30:38,8,16,.500,1,4,.250,5,7,.714,1,4,5,7,0,0,3,0,22,-14,30:38,.577,.531,.250,.438,3.3,15.3,8.9,33.8,0.0,0.0,13.6,26.2,118,131,1.3
Bruce Brown,27:09,4,10,.400,0,3,.000,1,4,.250,3,5,8,9,2,0,1,2,9,+2,27:09,.383,.400,.300,.400,11.3,21.6,16.1,42.0,3.2,0.0,7.8,17.1,113,122,5.5
Buddy Hield,26:40,3,9,.333,1,6,.167,0,0,,2,1,3,2,0,0,1,1,7,-10,26:40,.389,.389,.667,.000,7.7,4.4,6.1,9.1,0.0,0.0,10.0,13.6,95,133,-6.9
Obi Toppin,19:34,2,7,.286,1,3,.333,0,0,,3,4,7,1,0,1,0,6,5,-6,19:34,.357,.357,.429,.000,15.7,23.9,19.5,6.1,0.0,4.0,0.0,13.0,108,126,-6.9
Aaron Nesmith,25:28,5,11,.455,2,7,.286,0,0,,1,0,1,1,0,0,2,5,12,-20,25:28,.545,.545,.636,.000,4.0,0.0,2.1,5.3,0.0,0.0,15.4,18.6,99,133,-7.7
Bennedict Mathurin,24:45,2,8,.250,0,3,.000,10,10,1.000,0,1,1,1,0,0,3,3,14,-15,24:45,.565,.250,.375,1.250,0.0,4.7,2.2,4.7,0.0,0.0,19.5,22.6,106,132,-8.9
T.J. McConnell,16:14,4,9,.444,0,2,.000,1,1,1.000,1,4,5,5,2,0,3,1,9,-12,16:14,.477,.444,.222,.111,6.3,28.8,16.8,44.6,5.3,0.0,24.1,27.8,95,116,1.9
Isaiah Jackson,13:09,3,4,.750,0,0,,3,4,.750,0,3,3,1,1,2,1,3,9,-4,13:09,.781,.750,.000,1.000,0.0,26.7,12.4,10.7,3.3,11.8,14.8,18.7,136,113,9.2
Jarace Walker,6:05,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,1,1,4,3,+2,6:05,.500,.500,.667,.000,0.0,0.0,0.0,42.5,0.0,12.7,25.0,23.9,99,124,-1.6
Ben Sheppard,5:54,3,6,.500,2,3,.667,0,0,,0,0,0,0,1,0,0,2,8,+4,5:54,1.250,1.250,.500,.000,17.3,19.8,18.5,28.3,7.4,0.0,33.3,18.5,143,114,27.1
Jordan Nwora,5:54,2,2,1.000,1,1,1.000,0,0,,1,1,2,1,1,0,1,0,5,+4,5:54,.667,.667,.500,.000,0.0,0.0,0.0,0.0,7.4,0.0,0.0,37.0,132,117,16.3
Oscar Tshiebwe,5:54,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,+4,5:54,.266,.000,.000,2.000,0.0,19.8,9.2,0.0,0.0,0.0,0.0,11.6,67,129,-13.3
Team Totals,240,45,100,.450,11,36,.306,25,32,.781,16,29,45,30,7,6,18,32,126,,240,.552,.505,.360,.320,34.0,70.7,51.1,66.7,6.3,9.7,13.6,100.0,114.0,126.6,
