Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Simone Fontecchio,31:06,4,12,.333,3,10,.300,4,4,1.000,3,3,6,2,2,0,2,4,15,-10,31:06,.545,.458,.833,.333,9.9,8.9,9.4,8.4,3.1,0.0,12.7,19.9,115,110,1.8
Collin Sexton,30:17,10,18,.556,3,8,.375,3,3,1.000,1,3,4,7,0,0,2,4,26,-9,30:17,.673,.639,.444,.167,3.4,9.1,6.4,40.9,0.0,0.0,9.4,27.6,137,117,9.9
Kelly Olynyk,29:31,3,9,.333,1,2,.500,2,2,1.000,1,9,10,8,0,0,3,3,9,-1,29:31,.455,.389,.222,.222,3.5,28.1,16.4,34.1,0.0,0.0,23.3,17.1,104,110,-0.4
Lauri Markkanen,24:37,7,13,.538,4,8,.500,5,7,.714,0,7,7,0,0,0,0,2,23,-14,24:37,.715,.692,.615,.538,0.0,26.2,13.8,0.0,0.0,0.0,0.0,25.6,146,111,11.4
Keyonte George,3:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,0,3:57,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,29.8,0,120,-44.8
Ochai Agbaji,30:24,2,12,.167,1,5,.200,0,0,,3,1,4,2,0,0,0,2,5,+16,30:24,.208,.208,.417,.000,10.1,3.0,6.4,7.9,0.0,0.0,0.0,15.5,76,120,-10.2
Talen Horton-Tucker,24:15,7,14,.500,1,3,.333,0,2,.000,0,4,4,3,0,0,2,2,15,-8,24:15,.504,.536,.214,.143,0.0,15.2,8.0,20.4,0.0,0.0,11.8,27.3,96,115,-4.1
Walker Kessler,22:51,4,7,.571,0,0,,1,3,.333,4,5,9,1,0,3,2,3,9,+3,22:51,.541,.571,.000,.429,17.9,20.2,19.1,6.1,0.0,11.5,19.4,17.7,103,106,-0.4
Taylor Hendricks,20:17,2,7,.286,1,3,.333,0,0,,2,2,4,1,2,1,1,3,5,+25,20:17,.357,.357,.429,.000,10.1,9.1,9.6,6.2,4.7,4.3,12.5,15.5,86,104,-1.5
Kris Dunn,17:43,4,4,1.000,2,2,1.000,0,0,,0,2,2,7,1,0,1,3,10,+13,17:43,1.250,1.250,.500,.000,0.0,10.4,5.5,59.0,2.7,0.0,20.0,11.1,198,110,20.0
Omer Yurtseven,5:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,+5,5:00,.000,.000,.000,.000,20.4,36.9,29.1,0.0,0.0,0.0,0.0,7.9,64,108,-8.6
Micah Potter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brice Sensabaugh,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,98,.439,16,42,.381,15,21,.714,15,38,53,31,5,4,15,27,117,,240,.546,.520,.429,.214,31.9,73.1,53.5,72.1,4.9,7.3,12.3,100.0,115.8,111.8,
