Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,38:12,13,27,.481,1,5,.200,16,18,.889,2,4,6,9,2,0,3,2,43,+3,38:12,.616,.500,.185,.667,4.8,12.9,8.3,40.9,2.4,0.0,7.9,37.6,132,121,14.1
Luguentz Dort,32:03,5,8,.625,3,5,.600,4,5,.800,2,2,4,0,3,2,1,4,17,+3,32:03,.833,.813,.625,.625,5.8,7.7,6.6,0.0,4.2,6.0,8.9,13.2,155,115,9.4
Chet Holmgren,30:02,6,12,.500,0,2,.000,2,2,1.000,2,9,11,1,0,3,1,4,14,-10,30:02,.543,.500,.167,.167,6.1,36.9,19.3,4.6,0.0,9.6,7.2,17.5,115,115,-1.1
Josh Giddey,28:45,8,14,.571,2,3,.667,0,0,,5,3,8,4,2,1,4,4,18,+10,28:45,.643,.643,.214,.000,16.1,12.8,14.7,21.8,3.1,3.3,22.2,23.7,114,117,6.0
Jalen Williams,28:38,2,14,.143,0,4,.000,1,1,1.000,2,2,4,3,1,1,1,3,5,+2,28:38,.173,.143,.286,.071,6.4,8.6,7.4,12.4,1.6,3.4,6.5,20.4,59,122,-13.5
Cason Wallace,18:57,1,3,.333,1,2,.500,0,0,,0,0,0,4,0,0,0,3,3,-18,18:57,.500,.500,.667,.000,0.0,0.0,0.0,24.4,0.0,0.0,0.0,6.0,145,130,-2.0
Isaiah Joe,15:23,2,7,.286,1,5,.200,1,1,1.000,0,1,1,0,0,0,0,1,6,-6,15:23,.403,.357,.714,.143,0.0,8.0,3.4,0.0,0.0,0.0,0.0,18.3,93,128,-9.5
Jaylin Williams,15:03,1,3,.333,1,3,.333,0,0,,1,5,6,3,0,0,0,2,3,+7,15:03,.500,.500,1.000,.000,6.1,40.9,21.0,23.4,0.0,0.0,0.0,7.5,147,120,3.4
Kenrich Williams,10:50,1,5,.200,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-5,10:50,.200,.200,.400,.000,0.0,0.0,0.0,11.2,0.0,0.0,0.0,17.5,60,130,-14.9
Ousmane Dieng,10:21,2,4,.500,2,4,.500,0,0,,0,0,0,0,0,0,1,0,6,-3,10:21,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18.3,109,130,0.2
Aaron Wiggins,6:59,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,0,6,-5,6:59,.750,.750,.000,.000,13.2,0.0,7.6,0.0,0.0,0.0,20.0,27.1,112,130,1.7
Dāvis Bertāns,4:43,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,0,1,1,0,-3,4:43,.000,.000,1.000,.000,19.6,52.2,33.5,23.1,0.0,0.0,50.0,16.0,52,117,-14.2
Tre Mann,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vasilije Micić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,102,.431,11,36,.306,24,27,.889,16,28,44,26,8,7,13,25,123,,240,.540,.485,.353,.265,30.8,71.8,48.4,59.1,7.5,14.0,10.2,100.0,115.7,120.4,
