Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,34:19,9,15,.600,1,5,.200,4,8,.500,1,3,4,8,1,2,3,2,23,-19,34:19,.621,.633,.333,.533,3.3,9.3,6.4,40.8,1.4,4.7,13.9,29.5,116,129,5.5
Pascal Siakam,34:04,5,11,.455,2,3,.667,3,4,.750,0,5,5,4,2,0,1,1,15,-9,34:04,.588,.545,.273,.364,0.0,15.7,8.1,17.1,2.9,0.0,7.3,19.0,113,126,-0.5
OG Anunoby,32:39,3,8,.375,1,4,.250,0,0,,0,2,2,4,0,0,2,0,7,-19,32:39,.438,.438,.500,.000,0.0,6.5,3.4,16.5,0.0,0.0,20.0,14.4,82,136,-9.9
Dennis Schröder,31:14,3,7,.429,0,2,.000,0,0,,0,2,2,4,2,0,1,5,6,-20,31:14,.429,.429,.286,.000,0.0,6.8,3.5,17.4,3.2,0.0,12.5,12.1,91,129,-9.9
Jakob Poeltl,25:20,7,7,1.000,0,0,,1,2,.500,2,6,8,0,2,1,3,4,15,-12,25:20,.952,1.000,.000,.286,9.0,25.3,17.4,0.0,3.9,3.2,27.6,20.2,123,118,0.2
Gary Trent Jr.,20:28,3,8,.375,2,5,.400,0,0,,0,2,2,3,0,0,1,1,8,-11,20:28,.500,.500,.625,.000,0.0,10.4,5.4,21.3,0.0,0.0,11.1,20.7,93,135,-6.8
Malachi Flynn,18:59,3,4,.750,2,2,1.000,3,4,.750,0,4,4,1,0,1,2,4,11,-3,18:59,.955,1.000,.500,1.000,0.0,22.5,11.6,7.8,0.0,4.2,25.8,19.2,125,128,-0.4
Precious Achiuwa,17:20,4,7,.571,0,2,.000,1,2,.500,0,2,2,5,0,0,0,1,9,-9,17:20,.571,.571,.286,.286,0.0,12.3,6.4,47.9,0.0,0.0,0.0,21.4,130,134,5.8
Chris Boucher,14:44,2,4,.500,1,3,.333,2,5,.400,0,3,3,0,1,2,1,1,7,-7,14:44,.565,.625,.750,1.250,0.0,21.7,11.2,0.0,3.3,10.9,13.9,23.0,88,116,-1.9
Gradey Dick,2:43,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,+1,2:43,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,85,138,-4.9
Jalen McDaniels,2:43,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+1,2:43,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0,138,-60.0
Garrett Temple,2:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1,2:43,,,,,0.0,0.0,0.0,44.2,0.0,0.0,,0.0,225,138,3.5
Thaddeus Young,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1,2:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,138,-11.7
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,77,.519,10,31,.323,14,25,.560,3,29,32,30,8,6,14,19,104,,240,.591,.584,.403,.325,7.1,64.4,36.8,75.0,8.2,10.0,13.7,100.0,106.7,128.3,
