Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Terry Rozier,39:04,11,25,.440,4,11,.364,4,4,1.000,0,4,4,6,3,0,2,0,30,-10,39:04,.561,.520,.440,.160,0.0,11.7,5.6,26.8,3.8,0.0,7.0,32.3,113,112,9.6
Miles Bridges,38:56,10,24,.417,2,8,.250,5,6,.833,2,8,10,2,1,0,3,5,27,-11,38:56,.507,.458,.333,.250,5.4,23.5,14.0,8.6,1.3,0.0,10.1,33.5,98,114,-2.8
Brandon Miller,35:17,7,16,.438,2,5,.400,0,2,.000,0,4,4,3,1,0,0,3,16,-1,35:17,.474,.500,.313,.125,0.0,13.0,6.2,13.0,1.4,0.0,0.0,21.0,102,117,-1.6
Gordon Hayward,33:31,4,10,.400,1,4,.250,0,0,,0,3,3,4,1,1,1,2,9,0,33:31,.450,.450,.400,.000,0.0,10.2,4.9,16.2,1.5,2.7,9.1,14.4,96,116,-2.4
Nick Richards,30:18,7,7,1.000,0,0,,2,2,1.000,1,5,6,1,0,1,0,5,16,+6,30:18,1.015,1.000,.000,.286,3.4,18.9,10.8,5.3,0.0,3.0,0.0,11.4,208,116,5.8
Bryce McGowens,20:56,2,5,.400,0,2,.000,3,5,.600,1,1,2,0,1,0,0,2,7,-14,20:56,.486,.400,.400,1.000,5.0,5.5,5.2,0.0,2.4,0.0,0.0,15.1,109,117,-4.4
Ish Smith,15:12,0,2,.000,0,0,,0,0,,1,0,1,2,0,0,0,0,0,+10,15:12,.000,.000,.000,.000,6.9,0.0,3.6,15.4,0.0,0.0,0.0,5.8,75,124,-8.2
JT Thor,13:54,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,2,0,1,0,+1,13:54,.000,.000,.500,.000,7.5,8.2,7.8,0.0,0.0,13.0,0.0,6.3,40,113,-6.6
Nathan Mensah,12:51,0,1,.000,0,0,,2,2,1.000,2,5,7,0,0,0,2,6,2,-6,12:51,.532,.000,.000,2.000,16.2,44.5,29.7,0.0,0.0,0.0,51.5,13.3,81,111,-16.8
Leaky Black,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Bouknight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Smith Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,92,.446,9,31,.290,16,21,.762,8,31,39,18,7,4,8,24,107,,240,.528,.495,.337,.228,17.4,73.8,44.3,43.9,7.2,7.5,7.3,100.0,109.8,114.9,
