Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,38:47,11,22,.500,2,9,.222,6,9,.667,0,6,6,4,0,0,2,3,30,+14,38:47,.578,.545,.409,.409,0.0,19.5,9.4,14.4,0.0,0.0,7.2,31.2,115,118,-3.8
Derrick White,30:08,7,15,.467,3,7,.429,2,2,1.000,1,3,4,8,4,1,1,0,19,+13,30:08,.598,.567,.467,.133,3.9,12.6,8.1,34.6,6.4,3.1,5.9,24.3,135,105,14.2
Jaylen Brown,29:35,8,15,.533,0,5,.000,2,3,.667,0,3,3,4,0,1,2,0,18,+20,29:35,.551,.533,.333,.200,0.0,12.8,6.2,18.5,0.0,3.1,10.9,26.8,108,119,-4.2
Jrue Holiday,28:12,2,7,.286,2,3,.667,0,0,,1,3,4,4,2,1,0,2,6,+12,28:12,.429,.429,.429,.000,4.2,13.4,8.6,15.3,3.4,3.3,0.0,10.8,122,111,1.1
Lamar Stevens,14:07,3,7,.429,1,3,.333,1,2,.500,1,2,3,0,2,1,1,2,8,-7,14:07,.508,.500,.429,.286,8.3,17.9,12.9,0.0,6.9,6.5,11.3,27.3,95,100,-2.2
Sam Hauser,31:30,4,8,.500,3,6,.500,0,0,,2,5,7,4,4,0,1,1,11,+19,31:30,.688,.688,.750,.000,7.4,20.1,13.5,14.5,6.1,0.0,11.1,12.4,141,104,8.9
Payton Pritchard,28:17,7,10,.700,6,7,.857,1,2,.500,1,2,3,5,1,0,0,4,21,+8,28:17,.965,1.000,.700,.200,4.1,8.9,6.4,23.5,1.7,0.0,0.0,16.7,192,118,15.1
Neemias Queta,18:18,2,3,.667,0,0,,0,0,,2,1,3,1,1,3,1,6,4,+13,18:18,.667,.667,.000,.000,12.8,6.9,10.0,6.1,2.6,15.1,25.0,9.5,126,108,-3.2
Oshae Brissett,15:38,4,4,1.000,1,1,1.000,2,2,1.000,1,0,1,1,0,0,2,4,11,-3,15:38,1.127,1.125,.250,.500,7.5,0.0,3.9,8.6,0.0,0.0,29.1,19.1,149,124,1.3
Svi Mykhailiuk,5:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4,5:28,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0,125,-17.1
Kristaps Porziņģis,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,48,92,.522,18,42,.429,14,20,.700,9,25,34,31,14,7,10,22,128,,240,.635,.620,.457,.217,22.0,65.8,43.0,64.6,14.1,13.5,9.0,100.0,129.0,111.9,
