Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donovan Mitchell,40:52,7,21,.333,4,9,.444,4,4,1.000,3,2,5,13,2,0,1,4,22,+7,40:52,.483,.429,.429,.190,7.7,6.3,7.1,37.4,2.4,0.0,4.2,23.7,137,124,4.2
Jarrett Allen,34:50,12,14,.857,0,0,,1,1,1.000,4,10,14,1,2,1,4,1,25,+5,34:50,.866,.857,.000,.071,12.0,37.2,23.2,4.2,2.8,2.8,21.7,21.6,131,116,5.7
Max Strus,34:13,4,13,.308,1,8,.125,2,2,1.000,1,5,6,5,1,1,1,2,11,+12,34:13,.396,.346,.615,.154,3.0,19.0,10.1,16.2,1.4,2.9,6.7,17.8,109,122,-5.1
Isaac Okoro,31:32,6,9,.667,3,4,.750,3,4,.750,3,0,3,3,1,0,0,2,18,-1,31:32,.836,.833,.444,.444,9.9,0.0,5.5,11.5,1.6,0.0,0.0,13.9,186,127,8.1
Dean Wade,22:24,5,8,.625,4,7,.571,2,2,1.000,1,4,5,3,1,0,0,5,16,+6,22:24,.901,.875,.875,.250,4.7,23.2,12.9,16.8,2.2,0.0,0.0,16.2,196,122,13.8
Caris LeVert,24:50,6,15,.400,1,4,.250,1,2,.500,2,3,5,1,1,1,3,1,14,-1,24:50,.441,.433,.267,.133,8.4,15.7,11.6,5.2,2.0,3.9,15.9,31.0,88,120,-9.9
Georges Niang,15:10,0,4,.000,0,3,.000,0,0,,1,2,3,2,0,0,0,2,0,-1,15:10,.000,.000,.750,.000,6.9,17.1,11.4,12.9,0.0,0.0,0.0,10.8,60,128,-15.7
Craig Porter Jr.,15:03,3,8,.375,0,1,.000,0,0,,1,1,2,3,0,0,1,1,6,+6,15:03,.375,.375,.125,.000,6.9,8.6,7.7,24.3,0.0,0.0,11.1,24.4,99,129,-10.8
Tristan Thompson,13:11,3,3,1.000,0,0,,0,0,,2,3,5,0,0,0,0,3,6,+3,13:11,1.000,1.000,.000,.000,15.8,29.5,21.9,0.0,0.0,0.0,0.0,9.3,208,126,-0.5
Sam Merrill,7:52,3,6,.500,3,6,.500,0,0,,0,1,1,1,0,0,0,1,9,+4,7:52,.750,.750,1.000,.000,0.0,16.5,7.4,19.9,0.0,0.0,0.0,31.1,161,128,17.0
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Mobley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,101,.485,16,42,.381,13,15,.867,18,31,49,32,8,3,10,22,127,,240,.590,.564,.416,.149,39.1,83.8,59.0,65.3,8.3,6.1,8.5,100.0,131.2,122.9,
