Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandin Podziemski,33:24,4,8,.500,0,2,.000,2,2,1.000,0,5,5,5,1,0,1,3,10,+1,33:24,.563,.500,.250,.250,0.0,17.5,9.0,17.9,1.5,0.0,10.1,13.0,125,120,-2.5
Stephen Curry,31:14,2,12,.167,0,8,.000,3,4,.750,0,2,2,8,1,1,4,1,7,+14,31:14,.254,.167,.667,.333,0.0,7.5,3.8,28.6,1.6,3.1,22.5,25.0,72,120,-13.3
Klay Thompson,29:08,11,16,.688,5,10,.500,1,1,1.000,0,4,4,1,1,0,1,3,28,-5,29:08,.852,.844,.625,.063,0.0,16.1,8.2,5.9,1.7,0.0,5.7,26.3,151,120,10.8
Jonathan Kuminga,18:46,5,7,.714,2,3,.667,0,4,.000,2,2,4,0,1,0,1,3,12,+4,18:46,.685,.857,.429,.571,13.1,12.5,12.8,0.0,2.7,0.0,10.2,22.8,112,119,-0.2
Kevon Looney,14:41,2,5,.400,0,0,,0,0,,1,3,4,2,1,1,0,2,4,-2,14:41,.400,.400,.000,.000,8.4,23.9,16.3,16.6,3.4,6.5,0.0,14.9,115,110,0.2
Chris Paul,31:36,2,7,.286,0,4,.000,0,0,,1,3,4,8,1,0,2,1,4,-4,31:36,.286,.286,.571,.000,3.9,11.1,7.6,28.3,1.6,0.0,22.2,12.5,97,122,-7.6
Andrew Wiggins,29:20,9,12,.750,4,6,.667,3,4,.750,0,7,7,2,1,1,0,2,25,-3,29:20,.908,.917,.500,.333,0.0,27.9,14.3,10.5,1.7,3.3,0.0,20.6,180,115,16.1
Moses Moody,18:52,3,7,.429,0,2,.000,0,0,,2,2,4,1,1,0,1,0,6,+9,18:52,.429,.429,.286,.000,13.0,12.4,12.7,6.6,2.6,0.0,12.5,18.6,97,119,-6.4
Trayce Jackson-Davis,17:41,6,9,.667,0,0,,2,2,1.000,5,3,8,3,2,1,2,2,14,+8,17:41,.709,.667,.000,.222,34.8,19.9,27.1,27.4,5.6,5.4,16.8,29.5,138,107,12.9
Dario Šarić,15:18,2,4,.500,2,3,.667,2,2,1.000,0,1,1,1,0,0,2,3,8,-2,15:18,.820,.750,.750,.500,0.0,7.7,3.9,7.9,0.0,0.0,29.1,19.7,114,126,-5.3
Draymond Green,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Cory Joseph,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gary Payton II,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,87,.529,13,38,.342,13,19,.684,11,32,43,31,10,4,14,20,118,,240,.619,.603,.437,.218,28.2,78.0,53.8,67.4,10.4,8.0,12.8,100.0,122.4,118.2,
