Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,38:37,7,14,.500,1,2,.500,7,7,1.000,5,12,17,7,0,3,5,3,22,+22,38:37,.644,.536,.143,.500,15.2,32.4,24.3,24.6,0.0,6.5,22.6,24.4,122,98,6.7
Pascal Siakam,35:59,11,16,.688,0,1,.000,5,6,.833,4,4,8,8,1,0,2,1,27,+2,35:59,.724,.688,.063,.375,13.0,11.6,12.3,36.4,1.4,0.0,9.7,24.4,150,106,13.0
Dennis Schröder,34:12,4,6,.667,3,5,.600,2,2,1.000,0,0,0,5,0,0,3,2,13,+12,34:12,.945,.917,.833,.333,0.0,0.0,0.0,18.3,0.0,0.0,30.4,12.3,132,112,-0.5
OG Anunoby,32:16,2,10,.200,0,5,.000,1,1,1.000,0,2,2,2,1,0,2,3,5,+3,32:16,.239,.200,.500,.100,0.0,6.5,3.4,7.3,1.6,0.0,16.1,16.4,58,107,-15.2
Jakob Poeltl,15:18,2,2,1.000,0,0,,0,0,,0,1,1,2,0,0,4,3,4,-12,15:18,1.000,1.000,.000,.000,0.0,6.8,3.6,16.6,0.0,0.0,66.7,16.7,62,110,-11.5
Gary Trent Jr.,34:45,9,17,.529,4,10,.400,0,0,,0,10,10,3,1,0,1,1,22,+25,34:45,.647,.647,.588,.000,0.0,30.0,15.9,13.1,1.5,0.0,5.6,22.1,131,100,5.5
Precious Achiuwa,17:46,5,9,.556,0,1,.000,2,4,.500,5,2,7,1,1,0,0,1,12,+12,17:46,.558,.556,.111,.444,32.9,11.7,21.7,8.9,2.8,0.0,0.0,25.8,137,102,4.1
Malachi Flynn,16:20,1,6,.167,0,4,.000,0,0,,0,3,3,2,0,0,0,1,2,+4,16:20,.167,.167,.667,.000,0.0,19.2,10.1,14.3,0.0,0.0,0.0,15.6,66,107,-14.2
Chris Boucher,14:46,3,6,.500,0,1,.000,1,2,.500,1,2,3,0,0,1,0,1,7,+7,14:46,.509,.500,.167,.333,7.9,14.1,11.2,0.0,0.0,5.7,0.0,19.8,117,104,-4.2
Gradey Dick,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,86,.512,8,29,.276,18,22,.818,15,36,51,30,4,4,17,16,114,,240,.596,.558,.337,.256,36.6,78.3,58.6,68.2,4.2,7.0,15.1,100.0,120.0,104.2,
