Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cade Cunningham,44:10,16,24,.667,3,5,.600,8,9,.889,1,4,5,7,3,1,3,1,43,-2,44:10,.769,.729,.208,.375,2.7,12.4,7.1,24.9,3.2,2.2,9.7,28.3,149,124,14.8
Bojan Bogdanović,38:59,9,17,.529,5,9,.556,2,3,.667,1,1,2,2,0,0,2,3,25,+4,38:59,.682,.676,.529,.176,3.0,3.5,3.2,6.7,0.0,0.0,9.8,21.0,130,135,-0.8
Jaden Ivey,29:02,6,13,.462,0,2,.000,3,5,.600,2,6,8,4,0,0,2,6,15,-12,29:02,.493,.462,.154,.385,8.1,28.3,17.4,17.4,0.0,0.0,11.6,23.9,108,129,-8.1
Marvin Bagley III,22:44,7,12,.583,0,0,,3,4,.750,1,0,1,0,0,0,2,2,17,-10,22:44,.618,.583,.000,.333,5.1,0.0,2.8,0.0,0.0,0.0,12.7,28.0,112,136,-7.6
Ausar Thompson,18:56,1,5,.200,0,1,.000,0,0,,3,5,8,3,1,0,2,2,2,-16,18:56,.200,.200,.200,.000,18.6,36.2,26.7,16.7,2.5,0.0,28.6,14.9,77,122,-7.6
James Wiseman,24:59,5,5,1.000,0,0,,0,2,.000,2,5,7,2,0,0,2,2,10,+4,24:59,.850,1.000,.000,.400,9.4,27.4,17.7,10.0,0.0,0.0,25.4,12.7,128,130,-0.8
Alec Burks,23:15,2,11,.182,0,2,.000,2,2,1.000,1,1,2,2,1,0,0,3,6,-5,23:15,.253,.182,.182,.182,5.0,5.9,5.4,9.4,2.0,0.0,0.0,20.6,77,130,-14.4
Marcus Sasser,21:19,2,3,.667,1,1,1.000,0,0,,0,1,1,1,1,1,0,6,5,+10,21:19,.833,.833,.333,.000,0.0,6.4,3.0,5.2,2.2,4.6,0.0,5.7,175,126,-3.3
Joe Harris,12:11,0,1,.000,0,1,.000,1,2,.500,1,1,2,2,1,1,0,1,1,+1,12:11,.266,.000,1.000,2.000,9.6,11.3,10.4,16.4,3.9,8.0,0.0,6.2,122,120,4.8
Isaiah Livers,4:25,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4,4:25,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0,136,-36.6
Killian Hayes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin Knox,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Stewart,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,48,94,.511,9,22,.409,19,27,.704,12,24,36,23,7,3,13,26,124,,240,.586,.559,.234,.287,29.3,68.6,47.4,47.9,6.9,6.1,10.9,100.0,122.1,128.0,
