Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,35:53,12,16,.750,0,2,.000,3,3,1.000,0,7,7,9,1,1,3,3,27,+17,35:53,.779,.750,.125,.188,0.0,19.1,10.6,37.7,1.3,2.3,14.8,25.2,147,105,8.2
Patrick Williams,33:33,6,10,.600,3,3,1.000,0,0,,2,1,3,2,1,1,0,2,15,+8,33:33,.750,.750,.300,.000,7.3,2.9,4.9,7.3,1.4,2.5,0.0,13.3,159,108,5.0
Coby White,33:28,7,18,.389,3,6,.500,0,0,,1,6,7,5,0,0,3,2,17,+10,33:28,.472,.472,.333,.000,3.7,17.6,11.4,18.9,0.0,0.0,14.3,27.9,97,110,-8.0
Nikola Vučević,30:57,4,13,.308,3,5,.600,2,2,1.000,1,9,10,2,1,1,1,2,13,+6,30:57,.468,.423,.385,.154,4.0,28.5,17.6,7.4,1.5,2.7,6.7,21.4,101,103,-3.0
Alex Caruso,27:48,5,7,.714,3,4,.750,2,2,1.000,2,4,6,2,0,1,4,2,15,+15,27:48,.952,.929,.571,.286,8.9,14.1,11.8,8.8,0.0,3.0,33.7,19.0,127,109,2.4
Ayo Dosunmu,21:59,5,8,.625,4,6,.667,0,0,,1,1,2,1,2,2,1,1,14,0,21:59,.875,.875,.750,.000,5.6,4.5,5.0,5.9,4.3,7.7,11.1,18.2,150,97,15.1
Dalen Terry,21:06,1,2,.500,0,1,.000,0,0,,0,5,5,3,0,0,1,0,2,+11,21:06,.500,.500,.500,.000,0.0,23.2,12.9,14.9,0.0,0.0,33.3,6.3,109,109,-2.2
Jevon Carter,17:20,4,9,.444,2,7,.286,0,0,,0,1,1,0,1,0,0,1,10,+5,17:20,.556,.556,.778,.000,0.0,5.7,3.1,0.0,2.7,0.0,0.0,23.1,109,107,-3.0
Andre Drummond,16:10,4,5,.800,0,0,,3,4,.750,0,7,7,1,1,0,2,2,11,+12,16:10,.814,.800,.000,.800,0.0,42.4,23.6,8.2,2.9,0.0,22.8,24.1,124,99,3.3
Julian Phillips,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:53,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-5.3
Terry Taylor,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:53,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-5.6
Torrey Craig,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,48,88,.545,18,34,.529,10,11,.909,7,41,48,25,7,6,15,15,124,,240,.668,.648,.386,.125,17.9,83.7,54.5,52.1,6.9,10.5,13.9,100.0,121.8,106.1,
