Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,34:24,2,12,.167,0,3,.000,6,8,.750,0,8,8,8,1,0,3,1,10,-22,34:24,.322,.167,.250,.667,0.0,25.4,12.7,29.2,1.5,0.0,16.2,23.8,84,124,-8.5
Franz Wagner,32:17,5,14,.357,0,4,.000,5,6,.833,0,6,6,5,2,1,0,1,15,-13,32:17,.451,.357,.286,.429,0.0,20.3,10.1,22.1,3.2,2.8,0.0,22.8,117,120,1.3
Wendell Carter Jr.,23:23,3,4,.750,1,2,.500,1,2,.500,1,5,6,1,0,0,0,3,8,+3,23:23,.820,.875,.500,.500,4.7,23.3,14.0,5.9,0.0,0.0,0.0,9.2,169,128,-1.7
Anthony Black,21:31,2,4,.500,0,1,.000,0,0,,1,1,2,4,0,0,0,3,4,+2,21:31,.500,.500,.250,.000,5.1,5.1,5.1,24.4,0.0,0.0,0.0,8.2,144,133,-4.1
Jalen Suggs,21:17,5,9,.556,1,5,.200,0,0,,0,1,1,3,0,1,1,0,11,-23,21:17,.611,.611,.556,.000,0.0,5.1,2.6,22.8,0.0,4.2,10.0,20.8,120,130,1.3
Cole Anthony,25:27,8,13,.615,2,5,.400,2,2,1.000,1,3,4,3,1,1,3,4,20,-6,25:27,.720,.692,.385,.154,4.3,12.9,8.6,21.8,2.1,3.5,17.8,29.4,120,124,5.7
Gary Harris,19:45,0,2,.000,0,2,.000,0,0,,3,0,3,1,2,0,0,3,0,+4,19:45,.000,.000,1.000,.000,16.6,0.0,8.3,5.9,5.3,0.0,0.0,4.5,100,122,-5.7
Moritz Wagner,17:32,5,8,.625,0,0,,1,1,1.000,5,2,7,1,0,0,2,5,11,+2,17:32,.652,.625,.000,.125,31.1,12.4,21.8,10.0,0.0,0.0,19.2,26.4,120,131,-6.0
Caleb Houstan,14:48,3,10,.300,3,10,.300,0,0,,0,0,0,0,0,0,0,0,9,+4,14:48,.450,.450,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,99,135,-7.9
Goga Bitadze,12:19,2,3,.667,0,0,,0,0,,3,3,6,1,0,2,1,0,4,0,12:19,.667,.667,.000,.000,26.6,26.6,26.6,11.7,0.0,14.4,25.0,14.4,125,116,4.2
Jonathan Isaac,12:03,4,7,.571,1,2,.500,0,0,,1,3,4,1,1,0,1,3,9,-10,12:03,.643,.643,.286,.000,9.1,27.2,18.1,15.9,4.3,0.0,12.5,29.4,115,117,3.3
Chuma Okeke,5:14,2,3,.667,1,2,.500,0,0,,0,2,2,1,1,0,0,1,5,+14,5:14,.833,.833,.667,.000,0.0,41.7,20.8,40.5,10.0,0.0,0.0,25.4,169,100,31.4
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,89,.461,9,36,.250,15,19,.789,15,34,49,29,8,5,11,24,106,,240,.544,.511,.404,.213,34.1,77.3,55.7,70.7,8.7,9.3,10.2,100.0,115.7,125.5,
