Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden McDaniels,37:59,8,12,.667,2,3,.667,3,5,.600,1,2,3,0,1,0,0,3,21,-3,37:59,.739,.750,.250,.417,3.3,6.8,5.1,0.0,1.3,0.0,0.0,16.2,151,128,4.1
Karl-Anthony Towns,37:38,9,14,.643,1,2,.500,4,5,.800,3,10,13,2,0,0,4,4,23,+8,37:38,.710,.679,.143,.357,10.1,34.5,22.1,8.4,0.0,0.0,19.8,23.3,120,127,0.7
Anthony Edwards,36:16,9,20,.450,2,6,.333,7,8,.875,1,6,7,5,0,0,1,2,27,-10,36:16,.574,.500,.300,.400,3.5,21.5,12.4,22.0,0.0,0.0,4.1,29.4,126,128,3.7
Mike Conley,25:50,3,7,.429,1,4,.250,2,2,1.000,0,0,0,4,0,0,2,1,9,+2,25:50,.571,.500,.571,.286,0.0,0.0,0.0,20.4,0.0,0.0,20.2,16.6,108,131,-4.2
Rudy Gobert,24:12,3,4,.750,0,0,,2,2,1.000,2,7,9,1,2,0,0,4,8,+6,24:12,.820,.750,.000,.500,10.4,37.5,23.8,5.5,4.0,0.0,0.0,8.8,180,117,6.4
Naz Reid,20:03,4,9,.444,2,6,.333,0,0,,1,1,2,1,0,1,4,3,10,-27,20:03,.556,.556,.667,.000,6.3,6.5,6.4,7.4,0.0,3.9,30.8,28.1,80,127,-8.3
Nickeil Alexander-Walker,15:38,2,3,.667,0,1,.000,0,0,,0,2,2,2,0,1,0,1,4,-24,15:38,.667,.667,.333,.000,0.0,16.6,8.2,17.1,0.0,5.0,0.0,8.3,152,125,4.7
Shake Milton,13:15,0,2,.000,0,0,,2,2,1.000,0,0,0,3,0,0,1,2,2,-1,13:15,.347,.000,.000,1.000,0.0,0.0,0.0,25.9,0.0,0.0,25.8,12.7,91,131,-6.2
Kyle Anderson,12:40,1,5,.200,0,0,,0,0,,0,0,0,1,0,0,2,0,2,-10,12:40,.200,.200,.000,.000,0.0,0.0,0.0,9.9,0.0,0.0,28.6,24.0,39,131,-20.2
Troy Brown Jr.,9:44,2,4,.500,1,2,.500,0,0,,1,1,2,1,0,0,3,0,5,-11,9:44,.625,.625,.500,.000,13.0,13.3,13.2,15.3,0.0,0.0,42.9,31.2,79,129,-7.0
Wendell Moore Jr.,2:15,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,0,2,0,2:15,.000,.000,1.000,.000,0.0,57.7,28.4,50.8,0.0,0.0,0.0,19.3,59,123,-14.9
Luka Garza,2:15,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,0,2:15,,,,,0.0,0.0,0.0,50.8,0.0,0.0,,0.0,221,131,6.6
Jordan McLaughlin,2:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,2:15,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,21.3,0.0,50.0,38.6,65,85,18.7
Team Totals,240,42,82,.512,9,25,.360,20,24,.833,9,30,39,22,4,2,18,22,113,,240,.610,.567,.305,.293,23.7,81.1,52.0,52.4,4.0,3.2,16.3,100.0,112.8,126.8,
