Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Simone Fontecchio,35:57,3,7,.429,2,5,.400,1,2,.500,1,6,7,2,0,0,2,3,9,+8,35:57,.571,.571,.714,.286,3.7,17.4,11.4,7.4,0.0,0.0,20.2,12.4,101,130,-5.7
Lauri Markkanen,35:41,8,18,.444,3,9,.333,7,8,.875,2,8,10,1,0,0,0,3,26,-7,35:41,.604,.528,.500,.444,7.5,23.4,16.4,4.6,0.0,0.0,0.0,27.2,129,128,-0.1
Collin Sexton,33:56,7,17,.412,3,6,.500,3,4,.750,0,3,3,2,0,1,2,5,20,+6,33:56,.533,.500,.353,.235,0.0,9.2,5.2,9.4,0.0,3.1,9.6,27.6,99,132,-7.8
Walker Kessler,30:16,5,8,.625,0,1,.000,0,0,,1,4,5,0,2,1,2,2,10,+5,30:16,.625,.625,.125,.000,4.4,13.8,9.7,0.0,3.2,3.5,20.0,14.9,97,122,-3.7
Talen Horton-Tucker,29:54,6,13,.462,0,1,.000,7,8,.875,0,1,1,11,1,0,1,3,19,+5,29:54,.575,.462,.077,.615,0.0,3.5,2.0,58.1,1.6,0.0,5.7,26.5,136,131,4.5
John Collins,22:30,5,8,.625,2,4,.500,4,4,1.000,0,5,5,0,1,1,2,1,16,-16,22:30,.820,.750,.500,.500,0.0,23.2,13.0,0.0,2.2,4.7,17.0,23.6,128,120,5.1
Kelly Olynyk,19:36,2,3,.667,0,1,.000,1,2,.500,1,1,2,6,1,2,3,0,5,-14,19:36,.644,.667,.333,.667,6.8,5.3,6.0,41.9,2.5,10.9,43.6,15.8,110,123,7.1
Ochai Agbaji,16:12,1,1,1.000,1,1,1.000,0,0,,1,2,3,1,0,1,0,1,3,-17,16:12,1.500,1.500,1.000,.000,8.2,12.9,10.8,8.0,0.0,6.6,0.0,2.8,260,129,6.9
Kris Dunn,15:58,3,3,1.000,2,2,1.000,0,0,,0,2,2,1,0,0,4,4,8,-10,15:58,1.333,1.333,.667,.000,0.0,13.1,7.3,9.7,0.0,0.0,57.1,19.8,83,131,-7.0
Taylor Hendricks,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,40,78,.513,13,30,.433,23,28,.821,6,32,38,24,5,6,16,22,116,,240,.642,.596,.385,.359,16.7,69.6,46.3,60.0,5.1,13.3,15.0,100.0,118.8,127.0,
