Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,37:33,7,19,.368,2,12,.167,1,2,.500,0,4,4,14,0,0,4,2,17,+1,37:33,.428,.421,.632,.105,0.0,14.6,6.4,61.6,0.0,0.0,16.8,27.5,103,126,-5.9
Myles Turner,35:35,5,10,.500,0,2,.000,5,5,1.000,3,3,6,2,1,4,4,5,15,-2,35:35,.615,.500,.200,.500,9.0,11.6,10.1,8.6,1.4,11.0,24.7,19.7,105,116,-4.4
Buddy Hield,32:01,5,14,.357,5,13,.385,0,0,,2,4,6,4,2,0,2,2,15,+4,32:01,.536,.536,.929,.000,6.7,17.1,11.2,19.7,3.1,0.0,12.5,21.6,108,119,1.8
Obi Toppin,28:15,8,14,.571,5,9,.556,1,2,.500,2,3,5,1,2,0,1,3,22,+9,28:15,.739,.750,.643,.143,7.6,14.6,10.6,7.0,3.5,0.0,6.3,24.3,134,118,9.3
Bruce Brown,27:57,1,4,.250,0,1,.000,2,2,1.000,1,3,4,2,0,1,0,4,4,-6,27:57,.410,.250,.250,.500,3.8,14.7,8.6,9.5,0.0,3.5,0.0,7.6,120,124,-7.8
Aaron Nesmith,27:55,5,12,.417,4,8,.500,0,0,,1,4,5,0,4,3,2,1,14,-23,27:55,.583,.583,.667,.000,3.8,19.7,10.7,0.0,7.0,10.5,14.3,21.7,96,103,7.9
Bennedict Mathurin,18:32,3,10,.300,0,4,.000,0,0,,2,2,4,3,1,0,1,0,6,-22,18:32,.300,.300,.400,.000,11.5,14.8,12.9,25.7,2.6,0.0,9.1,25.7,83,121,-7.7
Andrew Nembhard,16:03,2,4,.500,2,3,.667,0,0,,0,1,1,1,2,0,1,2,6,-10,16:03,.750,.750,.750,.000,0.0,8.5,3.7,9.3,6.1,0.0,20.0,13.5,113,114,2.3
Isaiah Jackson,12:25,1,2,.500,0,0,,0,0,,1,2,3,0,0,1,0,2,2,-11,12:25,.500,.500,.000,.000,8.6,22.1,14.5,0.0,0.0,7.9,0.0,7.0,122,119,-8.5
T.J. McConnell,3:44,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-5,3:44,1.000,1.000,.000,.000,0.0,36.7,16.1,51.1,0.0,0.0,50.0,23.2,100,123,-3.9
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Nwora,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,90,.422,18,52,.346,9,11,.818,12,27,39,28,12,9,16,21,103,,240,.543,.522,.578,.122,26.7,77.1,48.8,73.7,12.2,18.4,14.4,100.0,105.1,118.4,
