Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Franz Wagner,38:38,13,23,.565,1,6,.167,2,4,.500,1,5,6,6,1,0,2,4,29,-7,38:38,.586,.587,.261,.174,2.3,14.8,7.8,25.8,1.2,0.0,7.5,28.6,116,118,3.5
Gary Harris,34:58,5,11,.455,2,6,.333,2,3,.667,1,1,2,5,0,0,0,4,14,-11,34:58,.568,.545,.545,.273,2.5,3.3,2.9,18.0,0.0,0.0,0.0,14.6,131,124,-1.3
Paolo Banchero,34:00,6,17,.353,3,5,.600,8,10,.800,0,7,7,4,0,1,2,4,23,-10,34:00,.537,.441,.294,.588,0.0,23.5,10.3,15.5,0.0,2.7,8.5,28.4,109,116,0.3
Wendell Carter Jr.,21:25,2,6,.333,0,3,.000,0,0,,1,3,4,2,0,1,0,2,4,-27,21:25,.333,.333,.500,.000,4.2,16.0,9.3,11.1,0.0,4.2,0.0,11.6,93,118,-5.9
Anthony Black,19:30,0,0,,0,0,,1,2,.500,0,2,2,1,1,2,1,2,1,-20,19:30,.568,,,,0.0,11.7,5.1,5.5,2.4,9.3,53.2,4.0,71,110,-2.1
Cole Anthony,32:37,7,17,.412,1,6,.167,3,3,1.000,4,7,11,6,2,0,0,2,18,+16,32:37,.491,.441,.353,.176,10.9,24.5,16.9,25.4,2.9,0.0,0.0,23.2,123,111,6.7
Moritz Wagner,26:35,10,15,.667,1,4,.250,0,0,,3,5,8,2,1,1,1,1,21,+23,26:35,.700,.700,.267,.000,10.0,21.5,15.0,13.4,1.8,3.4,6.3,24.9,135,113,10.8
Caleb Houstan,18:17,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,1,0,2,0,+10,18:17,.000,.000,1.000,.000,0.0,6.3,2.7,0.0,0.0,5.0,0.0,6.8,0,120,-13.4
Jonathan Isaac,14:00,2,7,.286,0,0,,0,1,.000,3,1,4,0,1,3,1,2,4,+6,14:00,.269,.286,.000,.143,19.0,8.2,14.3,0.0,3.3,19.4,11.8,24.9,70,103,-9.2
Goga Bitadze,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chuma Okeke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Admiral Schofield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,99,.455,8,33,.242,16,23,.696,13,32,45,26,6,9,7,23,114,,240,.522,.495,.333,.232,24.1,76.2,46.9,57.8,5.9,17.0,6.0,100.0,111.2,115.1,
