Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,37:16,11,22,.500,3,7,.429,7,10,.700,2,6,8,6,1,0,3,0,32,+4,37:16,.606,.568,.318,.455,6.8,15.5,11.7,27.8,1.3,0.0,10.2,34.7,119,120,4.7
Tyus Jones,35:33,9,15,.600,5,7,.714,1,2,.500,0,3,3,3,1,0,2,1,24,+6,35:33,.756,.767,.467,.133,0.0,8.1,4.6,13.6,1.4,0.0,11.2,22.1,129,124,2.4
Deni Avdija,34:46,4,7,.571,0,1,.000,5,7,.714,2,9,11,6,1,0,2,1,13,+9,34:46,.645,.571,.143,1.000,7.3,24.9,17.3,22.7,1.4,0.0,16.6,15.3,131,115,1.5
Jordan Poole,34:23,4,13,.308,0,4,.000,5,5,1.000,0,2,2,6,1,0,3,2,13,+5,34:23,.428,.308,.308,.385,0.0,5.6,3.2,23.0,1.4,0.0,16.5,23.3,91,125,-10.8
Daniel Gafford,31:16,7,10,.700,0,0,,2,3,.667,3,5,8,0,4,6,1,6,16,+9,31:16,.707,.700,.000,.300,12.1,15.4,14.0,0.0,6.3,14.2,8.1,17.3,135,101,6.1
Corey Kispert,21:36,3,8,.375,2,6,.333,1,1,1.000,0,0,0,2,0,0,0,0,9,0,21:36,.533,.500,.750,.125,0.0,0.0,0.0,12.6,0.0,0.0,0.0,17.2,117,131,-4.3
Bilal Coulibaly,17:51,1,1,1.000,0,0,,0,0,,0,2,2,2,0,0,0,5,2,-13,17:51,1.000,1.000,.000,.000,0.0,10.8,6.1,13.7,0.0,0.0,0.0,2.5,213,124,-6.4
Mike Muscala,14:25,2,5,.400,1,3,.333,0,2,.000,0,1,1,1,1,0,0,2,5,-7,14:25,.425,.500,.600,.400,0.0,6.7,3.8,9.4,3.4,0.0,0.0,17.9,90,119,-6.3
Danilo Gallinari,12:42,1,3,.333,1,2,.500,1,2,.500,0,2,2,0,0,0,0,0,4,-6,12:42,.515,.500,.667,.667,0.0,15.1,8.6,0.0,0.0,0.0,0.0,13.4,104,123,-7.2
Anthony Gill,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-9.5
Patrick Baldwin Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jared Butler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eugene Omoruyi,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ryan Rollins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,84,.500,12,30,.400,22,32,.688,7,30,37,26,9,6,11,17,118,,240,.602,.571,.357,.381,18.4,60.0,42.0,61.9,9.2,9.2,10.1,100.0,120.1,119.1,
