Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,25:51,6,20,.300,2,8,.250,2,2,1.000,1,2,3,1,0,0,1,0,16,-27,25:51,.383,.350,.400,.100,2.9,8.3,5.1,7.8,0.0,0.0,4.6,32.9,80,121,-6.9
Grant Williams,25:43,0,5,.000,0,3,.000,0,0,,0,4,4,2,2,1,0,2,0,-28,25:43,.000,.000,.600,.000,0.0,16.6,6.8,10.7,3.5,3.3,0.0,7.6,19,109,-8.2
Jaden Hardy,24:18,3,17,.176,2,12,.167,0,0,,0,2,2,4,0,0,0,5,8,-33,24:18,.235,.235,.706,.000,0.0,8.8,3.6,27.2,0.0,0.0,0.0,27.2,61,120,-13.5
Derrick Jones Jr.,22:24,1,4,.250,0,1,.000,1,2,.500,2,2,4,1,0,0,1,3,3,-21,22:24,.307,.250,.250,.500,6.6,9.5,7.8,6.5,0.0,0.0,17.0,10.2,73,120,-12.6
Markieff Morris,11:33,1,4,.250,1,4,.250,1,2,.500,0,2,2,0,0,0,0,0,4,-13,11:33,.410,.375,1.000,.500,0.0,18.5,7.6,0.0,0.0,0.0,0.0,16.4,87,118,-6.6
Olivier-Maxence Prosper,29:48,6,13,.462,1,4,.250,7,9,.778,5,1,6,2,1,0,3,2,20,-5,29:48,.590,.500,.308,.692,12.4,3.6,8.8,12.7,1.5,0.0,15.0,26.0,112,119,1.2
A.J. Lawson,23:20,3,4,.750,0,1,.000,2,2,1.000,0,2,2,1,4,0,3,0,8,+2,23:20,.820,.750,.250,.500,0.0,9.1,3.7,7.1,7.7,0.0,38.1,13.1,96,103,1.9
Richaun Holmes,22:21,7,12,.583,0,0,,2,3,.667,5,3,8,1,1,0,1,2,16,+10,22:21,.601,.583,.000,.250,16.5,14.3,15.6,10.8,2.0,0.0,7.0,24.9,121,115,3.8
Seth Curry,17:38,0,7,.000,0,2,.000,0,0,,0,2,2,0,2,0,2,1,0,-23,17:38,.000,.000,.286,.000,0.0,12.1,4.9,0.0,5.1,0.0,22.2,19.8,0,108,-21.1
Dexter Dennis,17:13,8,11,.727,1,3,.333,1,2,.500,0,5,5,4,0,0,0,0,18,+10,17:13,.758,.773,.273,.182,0.0,31.0,12.7,87.8,0.0,0.0,0.0,26.8,155,115,22.0
Greg Brown III,12:08,0,3,.000,0,1,.000,3,4,.750,1,4,5,2,0,0,0,1,3,-1,12:08,.315,.000,.333,1.333,6.1,35.2,18.0,22.6,0.0,0.0,0.0,15.3,93,114,-3.3
Dwight Powell,7:43,0,1,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,1,0,-1,7:43,.000,.000,1.000,.000,0.0,55.3,22.6,0.0,0.0,0.0,0.0,5.0,0,108,-14.0
Team Totals,240,35,101,.347,7,40,.175,19,26,.731,14,33,47,18,10,1,11,17,96,,240,.427,.381,.396,.257,21.5,73.3,42.7,51.4,9.4,1.8,8.9,100.0,90.0,114.3,
