Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jabari Smith Jr.,30:36,8,13,.615,1,3,.333,4,5,.800,2,6,8,1,0,0,1,0,21,+37,30:36,.691,.654,.231,.385,7.0,14.5,11.4,4.7,0.0,0.0,6.2,21.0,139,94,5.2
Jalen Green,26:53,5,14,.357,3,7,.429,4,4,1.000,1,5,6,4,2,0,4,2,17,+35,26:53,.539,.464,.500,.286,4.0,13.7,9.7,19.3,3.3,0.0,20.2,29.1,101,87,2.2
Fred VanVleet,25:41,3,8,.375,1,5,.200,3,3,1.000,0,2,2,4,1,0,0,2,10,+29,25:41,.536,.438,.625,.375,0.0,5.8,3.4,18.5,1.8,0.0,0.0,14.4,134,94,0.8
Alperen Sengun,24:41,8,12,.667,1,1,1.000,5,5,1.000,2,13,15,3,0,0,0,2,22,+30,24:41,.775,.708,.083,.417,8.6,38.9,26.5,19.2,0.0,0.0,0.0,22.8,170,83,16.6
Dillon Brooks,21:35,4,9,.444,2,5,.400,0,0,,0,3,3,1,0,0,2,2,10,+35,21:35,.556,.556,.556,.000,0.0,10.3,6.1,6.0,0.0,0.0,18.2,20.2,95,96,-4.8
Amen Thompson,21:38,4,9,.444,0,2,.000,1,2,.500,0,6,6,4,1,0,3,4,9,-3,21:38,.455,.444,.222,.222,0.0,20.5,12.1,23.9,2.1,0.0,23.3,23.6,86,86,-4.1
Jae'Sean Tate,17:30,1,2,.500,0,1,.000,0,0,,1,7,8,1,0,0,3,4,2,-4,17:30,.500,.500,.500,.000,6.1,29.5,19.9,6.3,0.0,0.0,60.0,11.3,57,87,-9.8
Jock Landale,15:35,1,5,.200,0,3,.000,1,2,.500,3,1,4,2,0,1,0,1,3,-9,15:35,.255,.200,.600,.400,20.5,4.7,11.2,14.4,0.0,5.0,0.0,15.0,100,95,-2.6
Aaron Holiday,15:07,1,3,.333,1,3,.333,0,0,,0,3,3,0,0,0,2,0,3,-5,15:07,.500,.500,1.000,.000,0.0,14.7,8.7,0.0,0.0,0.0,40.0,13.1,58,94,-9.5
Cam Whitmore,14:14,6,12,.500,1,6,.167,1,2,.500,2,2,4,0,2,0,0,2,14,-10,14:14,.543,.542,.500,.167,15.0,10.4,12.3,0.0,6.3,0.0,0.0,35.9,119,82,8.0
Nate Hinton,9:51,1,3,.333,1,2,.500,0,0,,1,1,2,1,0,0,1,3,3,-5,9:51,.500,.500,.667,.000,10.8,7.5,8.9,11.8,0.0,0.0,25.0,16.1,98,96,-6.8
Jermaine Samuels,8:55,3,3,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,6,-5,8:55,1.000,1.000,.000,.000,0.0,8.3,4.9,0.0,5.0,0.0,0.0,13.3,200,86,14.6
Jeff Green,7:44,1,2,.500,0,0,,0,0,,0,1,1,0,0,2,0,0,2,+5,7:44,.500,.500,.000,.000,0.0,9.5,5.6,0.0,0.0,20.4,0.0,10.2,106,84,7.2
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,95,.484,11,38,.289,19,23,.826,12,51,63,21,7,3,16,22,122,,240,.580,.542,.400,.242,26.7,78.5,57.3,45.7,6.6,4.9,13.2,100.0,114.3,90.0,
