Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trae Young,40:56,11,24,.458,3,10,.300,5,7,.714,0,5,5,13,1,1,2,3,30,+2,40:56,.554,.521,.417,.292,0.0,13.6,6.4,47.5,1.2,1.8,6.9,29.7,125,127,4.9
Saddiq Bey,38:06,4,11,.364,3,9,.333,3,4,.750,1,5,6,2,2,0,1,2,14,-7,38:06,.549,.500,.818,.364,2.6,14.6,8.2,6.3,2.5,0.0,7.3,15.1,115,125,-1.9
Dejounte Murray,35:25,10,15,.667,4,6,.667,2,2,1.000,1,3,4,4,2,0,3,4,26,-4,35:25,.819,.800,.400,.133,2.8,9.5,5.9,17.2,2.7,0.0,15.9,22.3,137,126,6.6
Clint Capela,30:20,8,11,.727,0,0,,4,4,1.000,5,7,12,1,0,2,1,2,20,+2,30:20,.784,.727,.000,.364,16.1,25.8,20.6,4.9,0.0,4.9,7.3,19.0,157,124,5.4
Garrison Mathews,14:15,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,3,0,-6,14:15,.000,.000,.667,.000,0.0,7.8,3.7,7.5,3.4,0.0,0.0,8.8,24,124,-14.7
Bogdan Bogdanović,34:15,6,15,.400,2,8,.250,2,3,.667,1,3,4,3,0,0,0,2,16,-1,34:15,.490,.467,.533,.200,2.9,9.8,6.1,11.5,0.0,0.0,0.0,19.9,114,132,-5.6
Onyeka Okongwu,27:34,5,10,.500,0,2,.000,0,0,,4,3,7,4,2,2,3,4,10,-7,27:34,.500,.500,.200,.000,14.2,12.1,13.2,19.2,3.5,5.4,23.1,19.7,102,120,-1.6
Seth Lundy,19:09,1,7,.143,1,6,.167,0,0,,1,1,2,0,0,0,0,2,3,-9,19:09,.214,.214,.857,.000,5.1,5.8,5.4,0.0,0.0,0.0,0.0,15.3,60,133,-17.0
Kobe Bufkin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trent Forrest,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wesley Matthews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,96,.469,13,43,.302,16,20,.800,13,28,41,28,8,5,10,22,119,,240,.568,.536,.448,.208,26.5,65.1,44.6,62.2,8.0,7.8,8.7,100.0,119.7,125.8,
