Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden McDaniels,40:39,8,16,.500,3,9,.333,1,2,.500,0,5,5,1,4,1,0,4,20,+12,40:39,.592,.594,.563,.125,0.0,13.4,7.1,3.4,4.9,2.3,0.0,19.0,115,96,5.0
Rudy Gobert,39:13,10,13,.769,0,0,,1,2,.500,6,11,17,1,0,2,1,3,21,+27,39:13,.756,.769,.000,.154,18.8,30.6,25.1,3.9,0.0,4.7,6.7,17.3,148,102,5.1
Anthony Edwards,39:05,13,27,.481,3,12,.250,5,5,1.000,0,5,5,10,1,1,5,1,34,+8,39:05,.582,.537,.444,.185,0.0,14.0,7.4,43.8,1.3,2.4,14.6,39.9,109,104,7.5
Mike Conley,31:39,4,10,.400,3,7,.429,1,1,1.000,0,7,7,9,2,0,2,1,12,+28,31:39,.575,.550,.700,.100,0.0,24.1,12.8,36.0,3.2,0.0,16.1,17.9,117,100,6.3
Kyle Anderson,28:39,4,9,.444,0,0,,2,2,1.000,1,4,5,5,0,1,2,4,10,+9,28:39,.506,.444,.000,.222,4.3,15.2,10.1,22.5,0.0,3.2,16.8,18.9,104,106,-3.1
Nickeil Alexander-Walker,22:52,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,2,2,-1,22:52,.250,.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,52,112,-12.8
Naz Reid,19:11,2,4,.500,0,1,.000,2,2,1.000,0,2,2,2,2,0,1,0,6,-13,19:11,.615,.500,.250,.500,0.0,11.4,6.0,12.8,5.2,0.0,17.0,14.0,114,98,4.2
Shake Milton,13:46,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,5,-6,13:46,.625,.625,.500,.000,0.0,7.9,4.2,9.4,0.0,0.0,20.0,16.6,97,111,-2.9
Troy Brown Jr.,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-3,3:19,,,,,0.0,32.9,17.4,0.0,0.0,0.0,,0.0,0,102,-21.5
Jordan McLaughlin,1:37,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-1,1:37,,,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,223,112,30.2
Luka Garza,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,87,.506,10,33,.303,12,14,.857,7,36,43,31,9,5,12,18,110,,240,.590,.563,.379,.161,17.9,81.8,51.8,70.5,9.4,9.6,11.4,100.0,114.9,102.4,
