Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaime Jaquez Jr.,39:29,11,15,.733,1,3,.333,8,8,1.000,5,5,10,1,2,0,0,3,31,-1,39:29,.837,.767,.200,.533,13.8,12.7,13.2,4.6,2.4,0.0,0.0,19.9,180,111,10.0
Tyler Herro,37:59,8,25,.320,4,11,.364,2,3,.667,2,4,6,5,1,1,4,1,22,-5,37:59,.418,.400,.440,.120,5.7,10.5,8.2,21.1,1.2,2.6,13.2,33.8,89,112,-7.5
Bam Adebayo,36:14,9,15,.600,0,0,,8,12,.667,3,12,15,5,0,3,4,1,26,0,36:14,.641,.600,.000,.800,9.0,33.1,21.6,23.6,0.0,8.1,16.5,28.4,120,107,4.9
Kyle Lowry,33:25,5,7,.714,1,3,.333,1,1,1.000,0,1,1,4,1,2,3,4,12,0,33:25,.806,.786,.429,.143,0.0,3.0,1.6,17.5,1.4,5.9,28.7,13.2,117,109,-0.5
Caleb Martin,8:43,0,0,,0,0,,1,2,.500,1,4,5,1,0,0,2,1,1,-5,8:43,.568,,,,12.5,45.9,29.9,13.8,0.0,0.0,69.4,14.0,67,111,-10.6
Duncan Robinson,34:03,5,13,.385,5,10,.500,1,1,1.000,0,4,4,2,1,0,0,3,16,+26,34:03,.595,.577,.769,.077,0.0,11.7,6.1,8.6,1.4,0.0,0.0,16.7,130,113,-0.9
R.J. Hampton,17:26,0,4,.000,0,3,.000,0,0,,0,0,0,4,0,0,0,0,0,-9,17:26,.000,.000,.750,.000,0.0,0.0,0.0,27.5,0.0,0.0,0.0,9.7,64,119,-10.7
Jamal Cain,16:42,0,2,.000,0,0,,3,4,.750,1,4,5,0,0,1,0,4,3,+16,16:42,.399,.000,.000,2.000,6.5,24.0,15.6,0.0,0.0,5.9,0.0,9.5,110,108,-8.9
Kevin Love,15:59,2,3,.667,1,2,.500,3,4,.750,1,9,10,5,0,0,1,0,8,+8,15:59,.840,.833,.667,1.333,6.8,56.3,32.6,44.2,0.0,0.0,17.4,15.3,162,110,17.3
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nikola Jović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Orlando Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cole Swider,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,84,.476,12,32,.375,27,35,.771,13,43,56,27,5,7,14,17,119,,240,.599,.548,.381,.417,29.5,89.6,60.9,67.5,4.9,14.3,12.3,100.0,117.2,111.3,
