Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trae Young,39:31,6,17,.353,3,12,.250,6,7,.857,0,2,2,13,1,0,6,3,21,-3,39:31,.523,.441,.706,.412,0.0,5.3,2.8,46.8,1.3,0.0,23.0,28.0,106,130,-2.1
Dejounte Murray,34:22,6,15,.400,2,9,.222,3,4,.750,0,6,6,4,2,1,3,4,17,0,34:22,.507,.467,.600,.267,0.0,18.2,9.5,17.1,3.0,2.1,15.2,24.4,99,118,-1.5
Saddiq Bey,33:39,5,10,.500,2,6,.333,1,1,1.000,4,4,8,0,1,0,0,1,13,-7,33:39,.623,.600,.600,.100,13.6,12.4,13.0,0.0,1.5,0.0,0.0,13.2,143,126,1.9
Jalen Johnson,29:12,5,8,.625,0,1,.000,0,0,,3,6,9,4,1,0,2,1,10,-9,29:12,.625,.625,.125,.000,11.7,21.4,16.8,20.1,1.7,0.0,20.0,14.5,123,121,3.0
Clint Capela,26:49,5,9,.556,0,0,,3,4,.750,3,2,5,1,0,1,1,3,13,-7,26:49,.604,.556,.000,.444,12.8,7.8,10.2,5.6,0.0,2.7,8.5,18.6,127,130,-2.1
Bogdan Bogdanović,31:24,8,21,.381,3,12,.250,3,3,1.000,1,2,3,1,0,0,0,2,22,+3,31:24,.493,.452,.571,.143,3.6,6.6,5.2,5.3,0.0,0.0,0.0,30.1,112,132,-3.7
Onyeka Okongwu,21:11,4,6,.667,1,2,.500,2,2,1.000,1,5,6,0,1,0,1,3,11,+2,21:11,.799,.750,.333,.333,5.4,24.6,15.4,0.0,2.4,0.0,12.7,15.8,141,118,2.4
Garrison Mathews,13:02,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,3,6,-3,13:02,1.500,1.500,1.000,.000,0.0,8.0,4.2,0.0,0.0,0.0,0.0,6.5,300,131,5.7
Wesley Matthews,6:04,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-1,6:04,,,,,0.0,0.0,0.0,19.3,0.0,11.8,100.0,7.0,46,129,-2.1
Trent Forrest,3:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,3:29,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-8.5
Seth Lundy,1:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4,1:17,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.1,0,135,-79.6
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,89,.461,13,45,.289,18,21,.857,12,28,40,24,6,3,15,21,113,,240,.575,.534,.506,.236,28.6,60.9,45.5,58.5,6.3,4.5,13.2,100.0,119.5,124.7,
