Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,37:36,13,21,.619,7,13,.538,0,1,.000,1,5,6,10,1,0,3,0,33,+15,37:36,.770,.786,.619,.048,3.3,12.8,8.6,48.3,1.3,0.0,12.3,28.0,146,119,14.1
Andrew Nembhard,33:57,5,6,.833,1,1,1.000,0,0,,0,2,2,6,0,0,6,1,11,+10,33:57,.917,.917,.167,.000,0.0,5.7,3.2,23.6,0.0,0.0,50.0,15.3,100,124,-3.4
Aaron Nesmith,30:22,3,6,.500,2,4,.500,2,2,1.000,1,4,5,2,0,0,3,5,10,+17,30:22,.727,.667,.667,.333,4.1,12.6,8.9,8.3,0.0,0.0,30.4,14.0,110,121,-4.2
Myles Turner,23:45,5,9,.556,2,3,.667,6,7,.857,1,4,5,1,0,2,0,5,18,+4,23:45,.745,.667,.333,.778,5.2,16.2,11.4,6.1,0.0,5.5,0.0,21.9,161,116,6.5
Jalen Smith,22:59,5,11,.455,1,4,.250,1,1,1.000,2,6,8,1,1,2,1,3,12,+11,22:59,.524,.500,.364,.091,10.7,25.1,18.8,6.4,2.1,5.7,8.0,23.4,111,108,-0.7
Buddy Hield,33:03,4,14,.286,3,11,.273,0,0,,1,4,5,5,0,0,0,1,11,-10,33:03,.393,.393,.786,.000,3.7,11.6,8.2,19.5,0.0,0.0,0.0,18.3,110,122,-3.6
Bennedict Mathurin,24:01,3,9,.333,2,5,.400,2,2,1.000,0,4,4,0,1,0,3,2,10,-6,24:01,.506,.444,.556,.222,0.0,16.0,9.0,0.0,2.0,0.0,23.3,23.1,78,116,-9.7
Isaiah Jackson,19:46,3,3,1.000,0,0,,5,5,1.000,3,5,8,0,1,3,1,3,11,+3,19:46,1.058,1.000,.000,1.667,18.7,24.3,21.8,0.0,2.4,10.0,16.1,13.5,188,105,11.1
Obi Toppin,14:31,2,3,.667,1,2,.500,2,3,.667,1,1,2,3,1,0,3,2,7,-14,14:31,.810,.833,.667,1.000,8.5,6.6,7.4,27.3,3.3,0.0,41.0,21.8,112,116,3.7
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
T.J. McConnell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Nwora,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ben Sheppard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,82,.524,19,43,.442,18,21,.857,10,35,45,28,5,7,20,22,123,,240,.674,.640,.524,.256,25.6,70.0,50.6,65.1,5.0,9.6,18.0,100.0,123.3,117.3,
