Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Franz Wagner,38:24,10,17,.588,2,4,.500,6,8,.750,0,8,8,9,1,1,2,3,28,+26,38:24,.682,.647,.235,.471,0.0,23.3,11.5,30.8,1.2,2.8,8.9,23.5,135,111,7.0
Paolo Banchero,38:14,10,22,.455,0,1,.000,4,8,.500,1,2,3,8,1,1,3,1,24,0,38:14,.470,.455,.045,.364,2.9,5.8,4.3,27.6,1.2,2.8,10.5,29.8,99,115,-4.0
Anthony Black,32:35,9,13,.692,4,6,.667,1,1,1.000,1,5,6,1,4,0,5,4,23,-2,32:35,.856,.846,.462,.077,3.3,17.1,10.2,4.1,5.5,0.0,27.1,22.6,111,103,4.6
Jalen Suggs,29:13,4,11,.364,3,10,.300,0,0,,1,2,3,1,3,1,2,1,11,-1,29:13,.500,.500,.909,.000,3.7,7.6,5.7,3.9,4.6,3.7,15.4,17.8,88,106,-2.1
Wendell Carter Jr.,21:19,2,3,.667,1,1,1.000,1,2,.500,0,4,4,2,0,1,2,1,6,+12,21:19,.773,.833,.333,.667,0.0,20.9,10.4,10.1,0.0,5.0,34.0,11.0,103,113,-2.5
Cole Anthony,22:35,4,11,.364,1,3,.333,2,2,1.000,0,3,3,4,1,0,1,2,11,+5,22:35,.463,.409,.273,.182,0.0,14.8,7.3,21.0,2.0,0.0,7.8,22.8,100,112,-4.5
Gary Harris,19:16,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,1,3,3,+4,19:16,.750,.750,.500,.000,0.0,0.0,0.0,5.4,2.3,0.0,33.3,6.2,99,115,-6.3
Moritz Wagner,15:10,5,9,.556,0,0,,1,2,.500,0,5,5,1,0,0,0,1,11,-3,15:10,.557,.556,.000,.222,0.0,36.8,18.2,9.5,0.0,0.0,0.0,26.1,112,112,-2.6
Caleb Houstan,11:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,11:43,,,,,0.0,9.5,4.7,0.0,0.0,0.0,,0.0,0,119,-7.4
Goga Bitadze,11:31,4,5,.800,0,0,,2,2,1.000,4,3,7,3,0,1,0,0,10,-1,11:31,.850,.800,.000,.400,37.9,29.1,33.5,38.7,0.0,9.3,0.0,20.4,189,109,23.6
Chuma Okeke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,93,.527,12,26,.462,17,25,.680,7,33,40,30,11,5,16,16,127,,240,.611,.591,.280,.269,15.9,76.7,46.0,61.2,10.2,11.1,13.3,100.0,117.6,110.2,
