Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Isaiah Hartenstein,37:09,2,6,.333,0,0,,0,0,,3,6,9,2,0,1,2,3,4,+4,37:09,.333,.333,.000,.000,11.7,22.8,17.4,6.7,0.0,2.2,25.0,9.1,87,129,-5.9
Jalen Brunson,36:46,9,19,.474,1,5,.200,5,5,1.000,2,2,4,7,2,1,5,4,24,-9,36:46,.566,.500,.263,.263,7.9,7.7,7.8,31.2,2.6,2.3,19.1,30.2,111,124,1.5
Julius Randle,35:54,7,15,.467,1,4,.250,10,13,.769,1,8,9,2,0,0,3,3,25,-12,35:54,.603,.500,.267,.867,4.1,31.5,18.0,8.5,0.0,0.0,12.6,28.0,117,131,-1.5
RJ Barrett,29:49,5,14,.357,1,7,.143,3,6,.500,0,4,4,4,0,0,5,5,14,-9,29:49,.421,.393,.500,.429,0.0,18.9,9.6,19.5,0.0,0.0,23.1,30.8,78,131,-14.1
Donte DiVincenzo,20:30,6,10,.600,5,9,.556,0,0,,0,2,2,0,0,0,1,2,17,-1,20:30,.850,.850,.900,.000,0.0,13.8,7.0,0.0,0.0,0.0,9.1,22.8,140,132,8.9
Josh Hart,33:55,1,4,.250,0,2,.000,2,2,1.000,2,5,7,6,0,0,1,1,4,-4,33:55,.410,.250,.500,.500,8.6,20.8,14.8,21.5,0.0,0.0,17.0,7.4,129,132,1.4
Immanuel Quickley,24:44,7,10,.700,4,5,.800,4,4,1.000,0,0,0,2,0,0,1,0,22,+2,24:44,.935,.900,.500,.400,0.0,0.0,0.0,14.2,0.0,0.0,7.8,21.9,172,133,14.5
Quentin Grimes,11:14,2,2,1.000,2,2,1.000,0,0,,0,3,3,1,0,0,0,1,6,0,11:14,1.500,1.500,1.000,.000,0.0,37.7,19.1,13.2,0.0,0.0,0.0,7.5,286,131,16.4
Taj Gibson,9:59,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,4,-16,9:59,1.000,1.000,.000,.000,14.6,14.1,14.4,0.0,0.0,0.0,0.0,8.5,206,132,3.0
Ryan Arcidiacono,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DaQuan Jeffries,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Miles McBride,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dmytro Skapintsev,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,82,.500,14,34,.412,24,30,.800,9,31,40,24,2,2,18,21,120,,240,.630,.585,.415,.366,27.3,91.2,59.7,58.5,2.0,3.4,15.9,100.0,120.6,129.7,
