Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,36:22,13,23,.565,2,5,.400,8,9,.889,1,6,7,8,2,2,1,0,36,+12,36:22,.668,.609,.217,.391,3.9,24.0,13.8,33.2,2.7,5.5,3.6,35.6,141,115,16.8
Jalen Williams,32:45,13,17,.765,5,5,1.000,5,7,.714,0,0,0,3,1,1,0,4,36,-2,32:45,.896,.912,.294,.412,0.0,0.0,0.0,14.7,1.5,3.1,0.0,28.4,178,124,18.3
Chet Holmgren,30:08,9,14,.643,1,4,.250,3,4,.750,1,4,5,1,0,4,0,4,22,+4,30:08,.698,.679,.286,.286,4.7,19.3,11.9,4.6,0.0,13.3,0.0,24.2,142,118,5.5
Josh Giddey,29:29,3,4,.750,0,0,,1,2,.500,0,6,6,2,0,2,2,1,7,+11,29:29,.717,.750,.000,.500,0.0,29.6,14.6,7.4,0.0,6.8,29.1,10.8,108,119,-1.7
Luguentz Dort,26:48,2,9,.222,1,4,.250,0,0,,0,2,2,2,0,0,0,4,5,+13,26:48,.278,.278,.444,.000,0.0,10.9,5.3,7.9,0.0,0.0,0.0,15.5,69,127,-12.6
Cason Wallace,21:52,2,6,.333,0,2,.000,0,0,,0,1,1,0,1,0,1,1,4,+6,21:52,.333,.333,.333,.000,0.0,6.7,3.3,0.0,2.2,0.0,14.3,14.8,56,123,-11.5
Kenrich Williams,20:34,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,2,0,0,1,3,+3,20:34,1.500,1.500,1.000,.000,0.0,7.1,3.5,5.0,4.7,0.0,0.0,2.3,278,117,5.6
Isaiah Joe,15:51,3,6,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,1,8,+3,15:51,.667,.667,.667,.000,0.0,18.4,9.0,0.0,0.0,0.0,0.0,17.5,126,125,-1.1
Aaron Wiggins,11:50,2,4,.500,1,3,.333,0,0,,0,0,0,2,0,1,0,4,5,+7,11:50,.625,.625,.750,.000,0.0,0.0,0.0,19.8,0.0,8.5,0.0,15.6,138,124,1.4
Jaylin Williams,6:45,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-8,6:45,.000,.000,1.000,.000,0.0,43.1,21.2,0.0,0.0,0.0,0.0,6.9,0,120,-13.5
Tre Mann,6:15,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-5,6:15,.000,.000,.667,.000,0.0,0.0,0.0,15.7,0.0,0.0,0.0,22.2,24,129,-23.6
Dāvis Bertāns,1:21,1,2,.500,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,+1,1:21,.750,.750,.500,.000,100.0,0.0,53.1,0.0,0.0,0.0,0.0,68.6,148,129,46.2
Vasilije Micić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aleksej Pokusevski,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,90,.544,14,32,.438,17,22,.773,3,24,27,20,6,10,4,21,129,,240,.647,.622,.356,.244,8.8,72.7,40.3,40.8,6.0,20.8,3.9,100.0,129.7,120.6,
