Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rui Hachimura,28:00,7,12,.583,0,1,.000,3,3,1.000,0,4,4,1,1,0,0,2,17,+34,28:00,.638,.583,.083,.250,0.0,15.2,8.1,4.3,1.6,0.0,0.0,20.0,125,108,-4.3
Anthony Davis,26:16,11,19,.579,0,1,.000,4,4,1.000,2,6,8,2,2,4,2,4,26,+6,26:16,.626,.579,.053,.211,9.1,24.4,17.2,11.5,3.4,14.1,8.8,36.4,116,91,3.2
LeBron James,24:43,7,13,.538,2,5,.400,1,1,1.000,0,4,4,11,0,0,3,0,17,+1,24:43,.632,.615,.385,.077,0.0,17.3,9.1,55.6,0.0,0.0,18.2,28.0,121,112,4.3
Jarred Vanderbilt,24:27,3,8,.375,1,2,.500,0,0,,2,2,4,3,2,0,0,1,7,+2,24:27,.438,.438,.250,.000,9.8,8.7,9.2,12.8,3.7,0.0,0.0,13.8,114,105,-2.0
Taurean Prince,22:30,1,7,.143,1,4,.250,0,0,,0,3,3,3,3,0,1,2,3,+2,22:30,.214,.214,.571,.000,0.0,14.2,7.5,12.8,6.0,0.0,12.5,14.9,59,98,-8.1
D'Angelo Russell,29:10,5,10,.500,4,7,.571,2,2,1.000,0,3,3,9,0,0,1,3,16,+18,29:10,.735,.700,.700,.200,0.0,11.0,5.8,33.8,0.0,0.0,8.4,17.1,146,112,2.4
Max Christie,24:16,3,4,.750,2,3,.667,2,2,1.000,0,7,7,3,1,2,1,2,10,+18,24:16,1.025,1.000,.750,.500,0.0,30.8,16.3,12.9,1.8,7.6,17.0,10.2,162,99,8.3
Austin Reaves,23:54,6,8,.750,2,3,.667,2,2,1.000,0,2,2,4,1,0,0,4,16,+9,23:54,.901,.875,.375,.250,0.0,8.9,4.7,20.1,1.9,0.0,0.0,15.6,179,108,5.5
Christian Wood,23:20,3,4,.750,3,3,1.000,0,0,,0,5,5,4,0,1,2,2,9,+19,23:20,1.125,1.125,.750,.000,0.0,22.9,12.1,18.0,0.0,4.0,33.3,10.8,133,107,5.8
Jaxson Hayes,6:42,5,7,.714,0,0,,0,0,,1,1,2,0,0,0,0,0,10,-2,6:42,.714,.714,.000,.000,17.9,15.9,16.9,0.0,0.0,0.0,0.0,43.9,137,112,5.0
Jalen Hood-Schifino,6:42,1,5,.200,0,1,.000,0,0,,0,0,0,1,1,0,1,1,2,-2,6:42,.200,.200,.200,.000,0.0,0.0,0.0,16.0,6.7,0.0,16.7,37.7,44,99,-27.2
Team Totals,240,52,97,.536,15,30,.500,14,14,1.000,5,37,42,41,11,7,11,21,133,,240,.645,.613,.309,.144,12.5,82.2,49.4,78.8,10.3,13.5,9.6,100.0,124.2,104.6,
