Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,40:31,9,21,.429,1,5,.200,10,13,.769,3,7,10,5,0,0,4,4,29,-7,40:31,.543,.452,.238,.619,6.2,19.7,12.0,24.3,0.0,0.0,13.0,28.4,115,122,1.0
Malcolm Brogdon,36:47,10,19,.526,6,8,.750,3,5,.600,1,5,6,6,1,0,1,1,29,-10,36:47,.684,.684,.421,.263,2.3,15.5,7.9,35.7,1.3,0.0,4.5,22.6,151,120,14.4
Scoot Henderson,36:19,8,23,.348,3,7,.429,6,6,1.000,2,1,3,4,1,0,6,5,25,-6,36:19,.488,.413,.304,.261,4.6,3.1,4.0,21.6,1.3,0.0,19.0,32.7,96,122,-4.7
Toumani Camara,21:04,0,5,.000,0,1,.000,1,2,.500,3,4,7,0,0,0,1,1,1,-11,21:04,.085,.000,.200,.400,12.0,21.7,16.1,0.0,0.0,0.0,14.5,12.2,41,122,-15.9
Moses Brown,13:44,2,6,.333,0,0,,0,0,,5,2,7,0,0,0,0,3,4,-8,13:44,.333,.333,.000,.000,30.7,16.6,24.7,0.0,0.0,0.0,0.0,16.4,109,123,-10.8
Jabari Walker,29:35,2,4,.500,0,0,,2,2,1.000,2,7,9,0,1,1,1,4,6,-18,29:35,.615,.500,.000,.500,5.7,27.0,14.8,0.0,1.6,3.3,17.0,7.4,120,115,-5.0
Matisse Thybulle,28:26,1,7,.143,1,7,.143,1,2,.500,0,2,2,1,2,0,0,1,4,-6,28:26,.254,.214,1.000,.286,0.0,8.0,3.4,5.1,3.4,0.0,0.0,10.4,74,117,-7.0
Ibou Badji,14:08,3,3,1.000,0,0,,1,2,.500,5,4,9,0,0,3,0,3,7,+11,14:08,.902,1.000,.000,.667,29.8,32.3,30.9,0.0,0.0,20.8,0.0,10.3,190,104,11.3
Skylar Mays,13:56,0,8,.000,0,4,.000,0,0,,1,2,3,0,1,0,0,0,0,-9,13:56,.000,.000,.500,.000,6.0,16.4,10.4,0.0,3.5,0.0,0.0,21.5,8,115,-20.8
Ish Wainright,5:30,0,5,.000,0,4,.000,0,0,,0,1,1,0,0,0,0,0,0,-1,5:30,.000,.000,.800,.000,0.0,20.8,8.8,0.0,0.0,0.0,0.0,34.1,0,122,-37.2
Duop Reath,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Anfernee Simons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,35,101,.347,11,36,.306,24,32,.750,22,35,57,16,6,4,13,22,105,,240,.456,.401,.356,.317,38.6,83.3,57.6,45.7,6.0,8.2,10.1,100.0,105.6,118.7,
