Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,37:12,7,19,.368,0,7,.000,5,6,.833,0,6,6,10,0,0,3,4,19,-19,37:12,.439,.368,.368,.316,0.0,18.9,8.9,44.5,0.0,0.0,12.2,29.5,93,119,-6.5
Jaren Jackson Jr.,37:00,8,17,.471,4,6,.667,2,2,1.000,0,2,2,4,2,2,1,5,22,-11,37:00,.615,.588,.353,.118,0.0,6.3,3.0,18.8,2.5,5.4,5.3,22.7,112,113,5.0
Desmond Bane,36:57,7,11,.636,2,5,.400,2,2,1.000,0,7,7,5,2,0,2,3,18,-5,36:57,.758,.727,.455,.182,0.0,22.2,10.5,22.5,2.5,0.0,14.4,16.7,127,112,2.6
Marcus Smart,31:36,7,14,.500,4,11,.364,4,4,1.000,0,2,2,2,3,0,2,0,22,-6,31:36,.698,.643,.786,.286,0.0,7.4,3.5,11.1,4.4,0.0,11.3,25.0,114,112,7.0
Bismack Biyombo,7:47,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,-4,7:47,.500,.500,.000,.000,0.0,30.1,14.2,0.0,6.0,0.0,33.3,17.2,56,102,-7.7
Santi Aldama,22:28,5,7,.714,2,3,.667,0,0,,1,4,5,1,1,0,0,1,12,+1,22:28,.857,.857,.429,.000,4.6,20.8,12.3,7.8,2.1,0.0,0.0,13.9,157,114,7.6
Vince Williams Jr.,22:13,1,6,.167,1,4,.250,2,3,.667,0,1,1,5,0,1,1,3,5,-1,22:13,.342,.250,.667,.500,0.0,5.3,2.5,30.1,0.0,4.5,12.0,16.7,85,120,-5.3
David Roddy,22:09,1,3,.333,0,1,.000,2,3,.667,0,2,2,1,0,0,1,1,4,+7,22:09,.463,.333,.333,1.000,0.0,10.6,5.0,6.0,0.0,0.0,18.8,10.7,83,121,-9.2
Xavier Tillman Sr.,16:41,1,5,.200,0,1,.000,0,0,,2,2,4,0,1,1,1,3,2,-14,16:41,.200,.200,.200,.000,12.5,14.0,13.2,0.0,2.8,6.0,16.7,16.0,56,110,-12.4
Ziaire Williams,5:57,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-3,5:57,.000,.000,.667,.000,0.0,39.4,18.5,21.2,0.0,0.0,0.0,22.5,20,114,-22.2
Jacob Gilyard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
John Konchar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,87,.437,13,40,.325,17,20,.850,3,30,33,29,10,4,12,22,106,,240,.553,.511,.460,.230,6.5,73.2,37.9,76.3,9.8,8.3,11.1,100.0,103.4,114.2,
