Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,41:22,13,26,.500,2,9,.222,14,15,.933,1,3,4,4,0,1,1,1,42,0,41:22,.644,.538,.346,.577,3.0,10.5,6.4,15.5,0.0,1.9,3.0,35.3,141,137,3.4
De'Anthony Melton,35:45,5,12,.417,2,7,.286,3,4,.750,0,3,3,2,1,0,2,1,15,+3,35:45,.545,.500,.583,.333,0.0,12.2,5.6,7.0,1.4,0.0,12.7,19.1,106,135,-7.3
Tobias Harris,34:59,10,18,.556,2,6,.333,0,0,,1,3,4,7,4,3,3,3,22,+5,34:59,.611,.611,.333,.000,3.5,12.5,7.6,30.7,5.7,6.7,14.3,26.1,122,121,9.4
Kelly Oubre Jr.,24:24,4,7,.571,3,4,.750,2,2,1.000,0,1,1,1,0,0,3,1,13,-4,24:24,.825,.786,.571,.286,0.0,6.0,2.7,5.3,0.0,0.0,27.6,19.4,116,140,-3.4
Paul Reed,23:53,3,5,.600,0,0,,1,2,.500,2,0,2,4,1,0,0,3,7,-6,23:53,.595,.600,.000,.400,10.3,0.0,5.6,20.6,2.1,0.0,0.0,10.7,156,136,1.4
Marcus Morris,26:50,4,8,.500,2,5,.400,4,5,.800,1,4,5,1,1,1,1,5,14,+10,26:50,.686,.625,.625,.625,4.6,21.7,12.4,4.7,1.9,2.9,8.9,18.1,137,129,-0.8
Patrick Beverley,19:55,3,4,.750,1,1,1.000,2,2,1.000,2,1,3,3,0,0,0,1,9,+7,19:55,.922,.875,.250,.500,12.4,7.3,10.0,19.1,0.0,0.0,0.0,10.6,203,139,6.6
Robert Covington,16:01,3,5,.600,0,1,.000,1,1,1.000,2,2,4,0,3,0,0,4,7,+3,16:01,.643,.600,.200,.200,15.4,18.2,16.6,0.0,9.3,0.0,0.0,14.8,150,114,3.5
Danuel House Jr.,11:35,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+5,11:35,,,,,0.0,25.1,11.5,0.0,0.0,0.0,,0.0,0,134,-8.3
Mo Bamba,5:16,0,1,.000,0,0,,2,2,1.000,2,0,2,0,0,0,0,1,2,-3,5:16,.532,.000,.000,2.000,46.7,0.0,25.3,0.0,0.0,0.0,0.0,15.5,163,141,-9.3
Furkan Korkmaz,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Springer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,86,.523,12,33,.364,29,33,.879,11,19,30,22,10,5,10,21,131,,240,.652,.593,.384,.384,28.2,57.6,41.7,48.9,10.4,8.2,9.0,100.0,135.6,131.5,
