Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,39:09,12,17,.706,1,2,.500,8,10,.800,4,13,17,8,4,2,2,3,33,-6,39:09,.771,.735,.118,.588,10.7,41.9,24.8,44.0,4.9,5.8,8.5,25.6,151,97,24.5
LeBron James,38:46,10,21,.476,1,4,.250,5,7,.714,0,3,3,6,3,1,1,2,26,-5,38:46,.540,.500,.190,.333,0.0,9.8,4.4,30.2,3.7,2.9,4.0,27.7,112,107,8.0
Taurean Prince,33:12,3,9,.333,3,6,.500,0,0,,0,2,2,1,3,0,3,1,9,+15,33:12,.500,.500,.667,.000,0.0,7.6,3.4,4.4,4.4,0.0,25.0,15.5,72,107,-2.8
Jarred Vanderbilt,26:43,3,7,.429,0,2,.000,2,2,1.000,1,4,5,1,2,0,0,5,8,+10,26:43,.508,.429,.286,.286,3.9,18.9,10.7,5.7,3.6,0.0,0.0,12.6,114,107,-2.0
Cam Reddish,22:27,2,7,.286,0,1,.000,0,0,,1,2,3,4,0,0,0,0,4,+1,22:27,.286,.286,.143,.000,4.6,11.3,7.6,26.1,0.0,0.0,0.0,13.4,88,117,-3.9
Austin Reaves,29:05,2,11,.182,0,5,.000,5,6,.833,1,1,2,0,0,0,1,2,9,+2,29:05,.330,.182,.455,.545,3.6,4.3,3.9,0.0,0.0,0.0,6.8,21.6,71,118,-14.8
D'Angelo Russell,20:16,1,4,.250,0,1,.000,3,4,.750,0,1,1,3,0,0,1,1,5,-19,20:16,.434,.250,.250,1.000,0.0,6.2,2.8,20.5,0.0,0.0,14.8,14.3,93,118,-8.2
Rui Hachimura,17:03,2,8,.250,0,1,.000,1,1,1.000,1,0,1,0,0,0,0,0,5,-11,17:03,.296,.250,.125,.125,6.1,0.0,3.4,0.0,0.0,0.0,0.0,21.2,70,119,-13.0
Christian Wood,13:19,2,4,.500,2,2,1.000,1,2,.500,0,5,5,0,0,1,2,1,7,+3,13:19,.717,.750,.500,.500,0.0,47.4,21.5,0.0,0.0,8.6,29.1,22.1,87,105,0.8
Max Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaxson Hayes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Hood-Schifino,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,88,.420,7,24,.292,25,32,.781,8,31,39,23,12,4,10,15,106,,240,.519,.460,.273,.364,17.4,81.6,46.4,62.2,12.1,9.5,8.9,100.0,106.8,108.9,
