Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Simone Fontecchio,31:25,4,9,.444,1,5,.200,3,6,.500,3,4,7,2,2,1,0,4,12,+7,31:25,.515,.500,.556,.667,9.8,14.6,12.0,8.3,3.0,3.3,0.0,15.4,121,103,2.0
Lauri Markkanen,26:24,4,13,.308,1,8,.125,3,4,.750,2,3,5,1,2,0,0,4,12,+1,26:24,.407,.346,.615,.308,7.7,13.0,10.2,5.1,3.5,0.0,0.0,23.3,96,104,-5.1
Collin Sexton,25:42,8,14,.571,1,4,.250,5,6,.833,1,1,2,5,1,0,3,1,22,-2,25:42,.661,.607,.286,.429,4.0,4.4,4.2,33.3,1.8,0.0,15.3,31.8,119,110,6.5
John Collins,20:44,4,11,.364,2,6,.333,0,0,,0,6,6,0,0,0,1,3,10,-6,20:44,.455,.455,.545,.000,0.0,33.1,15.6,0.0,0.0,0.0,8.3,24.1,79,108,-9.0
Kris Dunn,17:39,1,5,.200,0,1,.000,0,0,,0,1,1,6,2,1,1,3,2,0,17:39,.200,.200,.200,.000,0.0,6.5,3.1,40.5,5.3,5.8,16.7,14.1,79,98,0.3
Keyonte George,27:37,6,10,.600,5,8,.625,4,5,.800,0,6,6,2,0,0,2,3,21,+14,27:37,.861,.850,.800,.500,0.0,24.8,11.7,10.7,0.0,0.0,14.1,21.4,138,110,7.0
Kelly Olynyk,27:33,8,12,.667,0,1,.000,3,3,1.000,3,3,6,10,1,1,3,5,19,+11,27:33,.713,.667,.083,.250,11.1,12.4,11.7,60.0,1.7,3.7,18.4,24.7,137,106,13.4
Jordan Clarkson,25:02,3,10,.300,1,5,.200,2,2,1.000,0,2,2,3,0,0,0,0,9,+4,25:02,.414,.350,.500,.200,0.0,9.1,4.3,15.4,0.0,0.0,0.0,18.1,98,114,-5.6
Walker Kessler,23:03,5,5,1.000,0,0,,0,0,,0,8,8,0,0,2,0,1,10,+10,23:03,1.000,1.000,.000,.000,0.0,39.7,18.7,0.0,0.0,8.9,0.0,9.0,200,101,6.5
Ochai Agbaji,14:51,0,4,.000,0,3,.000,0,2,.000,0,0,0,0,0,1,0,1,0,+1,14:51,.000,.000,.750,.500,0.0,0.0,0.0,0.0,0.0,6.9,0.0,13.7,0,111,-17.8
Talen Horton-Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,93,.462,11,41,.268,20,28,.714,9,34,43,29,8,6,10,25,117,,240,.555,.522,.441,.301,19.1,81.0,48.3,67.4,7.8,12.8,8.7,100.0,114.2,106.3,
